RNG seed,algorithm,number of tasks,big resources,little resources,time max,stateless ratio,period,big used,little used,number of stages,tasks per stage,resources per stage,types of resources,load per stage
0,HeRAD,22,4,4,0,0,352053,4,4,5,5|8|4|2|4,1|1|3|2|1,Big|Big|Little|Big|Little,262882|341542|310947|352053|245385,
0,2CATAC,22,4,4,0,0,378150,4,4,6,3|1|7|4|4|4,1|1|1|1|3|1,Little|Little|Big|Little|Big|Little,201777|320297|360080|236590|378150|245385,
0,FERTAC,22,4,4,0,0,522074,4,4,6,4|1|3|4|8|3,1|1|1|1|3|1,Little|Little|Little|Little|Big|Big,522074|326113|404015|512407|418335|8351,
0,OTAC_big,22,4,4,0,0,597436,4,0,3,12|7|4,1|2|1,Big|Big|Big,556300|597436|68485,
0,OTAC_little,22,4,4,0,0,1.52337e+06,0,4,4,8|7|3|5,1|1|1|1,Little|Little|Little|Little,1.2522e+06|695402|1.18172e+06|1.52337e+06,
0,HeRAD,22,2,2,0,0,702699,2,2,3,13|5|5,1|2|1,Big|Little|Big,604424|607536|702699,
0,2CATAC,22,2,2,0,0,702699,2,2,3,15|3|5,1|2|1,Big|Little|Big,616721|590862|702699,
0,FERTAC,22,2,2,0,0,725138,2,2,4,4|3|11|5,1|1|1|1,Little|Little|Big|Big,522074|697920|725138|702699,
0,OTAC_big,22,2,2,0,0,1.04133e+06,2,0,2,16|7,1|1,Big|Big,1.04133e+06|778323,
0,OTAC_little,22,2,2,0,0,2.70509e+06,0,2,2,15|8,1|1,Little|Little,1.9476e+06|2.70509e+06,
