RNG seed,algorithm,number of tasks,big resources,little resources,time max,stateless ratio,period,big used,little used,number of stages,tasks per stage,resources per stage,types of resources,load per stage
0,HeRAD,22,4,8,0,0,326207,1,6,5,5|1|7|6|4,1|1|1|3|1,Little|Big|Little|Little|Little,261282|326207|233364|323077|138360,
0,2CATAC,22,4,8,0,0,326207,1,6,5,5|1|9|4|4,1|1|1|3|1,Little|Big|Little|Little|Little,261282|326207|277328|308422|138360,
0,FERTAC,22,4,8,0,0,326207,1,6,5,5|1|9|4|4,1|1|1|3|1,Little|Big|Little|Little|Little,261282|326207|277328|308422|138360,
0,OTAC_big,22,4,8,0,0,501301,4,0,4,5|7|6|5,1|1|1|1,Big|Big|Big|Big,202254|469022|386621|501301,
0,OTAC_little,22,4,8,0,0,430754,0,7,5,5|1|9|5|3,1|1|1|3|1,Little|Little|Little|Little|Little,261282|430754|277328|350869|11018,
0,HeRAD,22,2,4,0,0,403225,2,4,6,5|1|9|3|1|4,1|1|1|1|1|1,Little|Big|Little|Little|Big|Little,261282|326207|277328|403225|395902|138360,
0,2CATAC,22,2,4,0,0,403225,2,4,6,5|3|7|3|1|4,1|1|1|1|1|1,Little|Big|Little|Little|Big|Little,261282|353030|243108|403225|395902|138360,
0,FERTAC,22,2,4,0,0,403225,2,4,6,5|3|7|3|1|4,1|1|1|1|1|1,Little|Big|Little|Little|Big|Little,261282|353030|243108|403225|395902|138360,
0,OTAC_big,22,2,4,0,0,809452,2,0,2,15|8,1|1,Big|Big,749746|809452,
0,OTAC_little,22,2,4,0,0,660401,0,4,4,5|7|6|5,1|1|1|1,Little|Little|Little|Little,261282|614144|497163|660401,
