node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
ai370,2CATAC,distant,4,2,4,2,half,56.62750000000001,56.559,56.671,0.11200000000000188,0.032935121408949844
ai370,2CATAC,distant,8,4,6,1,full,57.73750000000001,56.778,58.194,1.416000000000004,0.47223752262794466
ai370,FERTAC,distant,4,2,4,2,half,56.6466,56.624,56.666,0.041999999999994486,0.014500574701253663
ai370,FERTAC,distant,8,4,6,1,full,57.46210000000001,56.619,58.278,1.658999999999999,0.7550323686953944
ai370,HeRAD,distant,4,2,4,2,half,56.596500000000006,56.317,56.658,0.3410000000000011,0.10465950081627161
ai370,HeRAD,distant,8,4,6,1,full,60.019000000000005,58.293,64.519,6.226000000000006,1.6858307546528326
ai370,OTAC_big,distant,4,2,0,2,half,27.778999999999996,27.733,27.849,0.11599999999999966,0.03926264835127085
ai370,OTAC_big,distant,8,4,0,4,full,38.178900000000006,38.15,38.206,0.05600000000000449,0.016434719346554844
ai370,OTAC_little,distant,4,2,4,0,half,34.1362,28.863,34.736,5.8729999999999976,1.852858380389008
ai370,OTAC_little,distant,8,4,7,0,full,52.4967,52.411,52.543,0.1319999999999979,0.04332320394430629
