sched_name,throughput_mbps
m1u_2CATAC_16big_4little,55.575
m1u_2CATAC_16big_4little,55.663
m1u_2CATAC_16big_4little,55.676
m1u_2CATAC_16big_4little,55.677
m1u_2CATAC_16big_4little,55.681
m1u_2CATAC_16big_4little,55.688
m1u_2CATAC_16big_4little,55.672
m1u_2CATAC_16big_4little,55.677
m1u_2CATAC_16big_4little,55.668
m1u_2CATAC_16big_4little,55.458
m1u_2CATAC_8big_2little,50.347
m1u_2CATAC_8big_2little,52.060
m1u_2CATAC_8big_2little,50.411
m1u_2CATAC_8big_2little,50.766
m1u_2CATAC_8big_2little,48.380
m1u_2CATAC_8big_2little,49.941
m1u_2CATAC_8big_2little,52.674
m1u_2CATAC_8big_2little,52.883
m1u_2CATAC_8big_2little,49.212
m1u_2CATAC_8big_2little,52.243
m1u_FERTAC_16big_4little,55.286
m1u_FERTAC_16big_4little,55.579
m1u_FERTAC_16big_4little,55.569
m1u_FERTAC_16big_4little,55.579
m1u_FERTAC_16big_4little,55.571
m1u_FERTAC_16big_4little,55.585
m1u_FERTAC_16big_4little,55.569
m1u_FERTAC_16big_4little,55.590
m1u_FERTAC_16big_4little,55.566
m1u_FERTAC_16big_4little,55.580
m1u_FERTAC_8big_2little,41.419
m1u_FERTAC_8big_2little,41.407
m1u_FERTAC_8big_2little,41.417
m1u_FERTAC_8big_2little,41.434
m1u_FERTAC_8big_2little,41.418
m1u_FERTAC_8big_2little,41.426
m1u_FERTAC_8big_2little,41.424
m1u_FERTAC_8big_2little,41.419
m1u_FERTAC_8big_2little,41.429
m1u_FERTAC_8big_2little,41.409
m1u_HeRAD_16big_4little,55.585
m1u_HeRAD_16big_4little,55.678
m1u_HeRAD_16big_4little,55.463
m1u_HeRAD_16big_4little,55.666
m1u_HeRAD_16big_4little,55.652
m1u_HeRAD_16big_4little,55.583
m1u_HeRAD_16big_4little,55.663
m1u_HeRAD_16big_4little,55.666
m1u_HeRAD_16big_4little,55.663
m1u_HeRAD_16big_4little,55.659
m1u_HeRAD_8big_2little,51.004
m1u_HeRAD_8big_2little,50.323
m1u_HeRAD_8big_2little,49.874
m1u_HeRAD_8big_2little,51.728
m1u_HeRAD_8big_2little,51.258
m1u_HeRAD_8big_2little,50.689
m1u_HeRAD_8big_2little,51.630
m1u_HeRAD_8big_2little,52.554
m1u_HeRAD_8big_2little,52.325
m1u_HeRAD_8big_2little,50.191
m1u_OTAC_big_16big_4little,55.665
m1u_OTAC_big_16big_4little,54.728
m1u_OTAC_big_16big_4little,55.625
m1u_OTAC_big_16big_4little,55.624
m1u_OTAC_big_16big_4little,55.606
m1u_OTAC_big_16big_4little,55.626
m1u_OTAC_big_16big_4little,55.625
m1u_OTAC_big_16big_4little,55.621
m1u_OTAC_big_16big_4little,55.619
m1u_OTAC_big_16big_4little,55.615
m1u_OTAC_big_8big_2little,42.691
m1u_OTAC_big_8big_2little,40.922
m1u_OTAC_big_8big_2little,42.124
m1u_OTAC_big_8big_2little,42.436
m1u_OTAC_big_8big_2little,42.930
m1u_OTAC_big_8big_2little,42.603
m1u_OTAC_big_8big_2little,43.141
m1u_OTAC_big_8big_2little,42.292
m1u_OTAC_big_8big_2little,43.106
m1u_OTAC_big_8big_2little,43.141
m1u_OTAC_little_16big_4little,8.696
m1u_OTAC_little_16big_4little,8.671
m1u_OTAC_little_16big_4little,8.640
m1u_OTAC_little_16big_4little,8.667
m1u_OTAC_little_16big_4little,8.700
m1u_OTAC_little_16big_4little,8.686
m1u_OTAC_little_16big_4little,8.650
m1u_OTAC_little_16big_4little,8.614
m1u_OTAC_little_16big_4little,8.673
m1u_OTAC_little_16big_4little,8.621
m1u_OTAC_little_8big_2little,4.971
m1u_OTAC_little_8big_2little,4.972
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.971
m1u_OTAC_little_8big_2little,4.971
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.971
