node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
opi5,2CATAC,distant,2,2,2,2,half,8.229999999999999,8.165,8.311,0.1460000000000008,0.037389838191680014
opi5,2CATAC,distant,4,4,4,4,full,14.569899999999999,13.845,14.895,1.049999999999999,0.3009043591132125
opi5,FERTAC,distant,2,2,2,2,half,7.6728,7.652,7.695,0.04300000000000015,0.01380660067584422
opi5,FERTAC,distant,4,4,4,4,full,10.5062,10.497,10.526,0.028999999999999915,0.007871185143010882
opi5,HeRAD,distant,2,2,2,2,half,8.2039,8.161,8.239,0.07800000000000118,0.02210806790894827
opi5,HeRAD,distant,4,4,4,4,full,15.366999999999999,15.13,15.688,0.5579999999999998,0.20372912299314372
opi5,OTAC_big,distant,2,2,0,2,half,5.4094,5.383,5.423,0.040000000000000036,0.012420413304985767
opi5,OTAC_big,distant,4,4,0,4,full,9.436,9.389,9.471,0.08200000000000074,0.02358436393507858
opi5,OTAC_little,distant,2,2,2,0,half,2.0775999999999994,2.048,2.095,0.04700000000000015,0.01863807333867368
opi5,OTAC_little,distant,4,4,4,0,full,3.7137000000000002,3.707,3.721,0.014000000000000234,0.003917198545446062
