sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,39.857
x7ti_2CATAC_3big_4little,40.036
x7ti_2CATAC_3big_4little,40.115
x7ti_2CATAC_3big_4little,40.430
x7ti_2CATAC_3big_4little,39.800
x7ti_2CATAC_3big_4little,39.455
x7ti_2CATAC_3big_4little,39.996
x7ti_2CATAC_3big_4little,39.782
x7ti_2CATAC_3big_4little,40.408
x7ti_2CATAC_3big_4little,39.513
x7ti_2CATAC_6big_8little,70.643
x7ti_2CATAC_6big_8little,69.565
x7ti_2CATAC_6big_8little,70.722
x7ti_2CATAC_6big_8little,71.293
x7ti_2CATAC_6big_8little,71.575
x7ti_2CATAC_6big_8little,71.440
x7ti_2CATAC_6big_8little,71.655
x7ti_2CATAC_6big_8little,68.612
x7ti_2CATAC_6big_8little,71.346
x7ti_2CATAC_6big_8little,70.584
x7ti_FERTAC_3big_4little,36.441
x7ti_FERTAC_3big_4little,38.619
x7ti_FERTAC_3big_4little,38.845
x7ti_FERTAC_3big_4little,36.964
x7ti_FERTAC_3big_4little,36.920
x7ti_FERTAC_3big_4little,36.983
x7ti_FERTAC_3big_4little,37.000
x7ti_FERTAC_3big_4little,36.983
x7ti_FERTAC_3big_4little,36.836
x7ti_FERTAC_3big_4little,36.847
x7ti_FERTAC_6big_8little,63.311
x7ti_FERTAC_6big_8little,63.384
x7ti_FERTAC_6big_8little,65.101
x7ti_FERTAC_6big_8little,63.444
x7ti_FERTAC_6big_8little,63.408
x7ti_FERTAC_6big_8little,63.333
x7ti_FERTAC_6big_8little,63.453
x7ti_FERTAC_6big_8little,63.466
x7ti_FERTAC_6big_8little,63.407
x7ti_FERTAC_6big_8little,63.429
x7ti_HeRAD_3big_4little,39.971
x7ti_HeRAD_3big_4little,39.884
x7ti_HeRAD_3big_4little,39.922
x7ti_HeRAD_3big_4little,39.901
x7ti_HeRAD_3big_4little,39.320
x7ti_HeRAD_3big_4little,39.073
x7ti_HeRAD_3big_4little,39.398
x7ti_HeRAD_3big_4little,39.044
x7ti_HeRAD_3big_4little,39.853
x7ti_HeRAD_3big_4little,39.768
x7ti_HeRAD_6big_8little,71.602
x7ti_HeRAD_6big_8little,71.489
x7ti_HeRAD_6big_8little,70.419
x7ti_HeRAD_6big_8little,70.577
x7ti_HeRAD_6big_8little,72.059
x7ti_HeRAD_6big_8little,71.316
x7ti_HeRAD_6big_8little,70.191
x7ti_HeRAD_6big_8little,72.135
x7ti_HeRAD_6big_8little,71.749
x7ti_HeRAD_6big_8little,71.272
x7ti_OTAC_big_3big_4little,19.653
x7ti_OTAC_big_3big_4little,18.779
x7ti_OTAC_big_3big_4little,19.697
x7ti_OTAC_big_3big_4little,18.862
x7ti_OTAC_big_3big_4little,18.762
x7ti_OTAC_big_3big_4little,18.872
x7ti_OTAC_big_3big_4little,18.839
x7ti_OTAC_big_3big_4little,18.996
x7ti_OTAC_big_3big_4little,18.946
x7ti_OTAC_big_3big_4little,18.928
x7ti_OTAC_big_6big_8little,38.063
x7ti_OTAC_big_6big_8little,35.221
x7ti_OTAC_big_6big_8little,35.038
x7ti_OTAC_big_6big_8little,35.146
x7ti_OTAC_big_6big_8little,34.847
x7ti_OTAC_big_6big_8little,34.989
x7ti_OTAC_big_6big_8little,35.041
x7ti_OTAC_big_6big_8little,34.975
x7ti_OTAC_big_6big_8little,34.992
x7ti_OTAC_big_6big_8little,35.195
x7ti_OTAC_little_3big_4little,14.778
x7ti_OTAC_little_3big_4little,14.885
x7ti_OTAC_little_3big_4little,14.917
x7ti_OTAC_little_3big_4little,14.698
x7ti_OTAC_little_3big_4little,14.745
x7ti_OTAC_little_3big_4little,14.956
x7ti_OTAC_little_3big_4little,14.812
x7ti_OTAC_little_3big_4little,14.875
x7ti_OTAC_little_3big_4little,14.947
x7ti_OTAC_little_3big_4little,14.959
x7ti_OTAC_little_6big_8little,26.202
x7ti_OTAC_little_6big_8little,26.186
x7ti_OTAC_little_6big_8little,26.170
x7ti_OTAC_little_6big_8little,26.127
x7ti_OTAC_little_6big_8little,26.141
x7ti_OTAC_little_6big_8little,26.159
x7ti_OTAC_little_6big_8little,26.045
x7ti_OTAC_little_6big_8little,26.144
x7ti_OTAC_little_6big_8little,26.053
x7ti_OTAC_little_6big_8little,26.200
