sched_name,throughput_mbps
ai370_2CATAC_2big_4little,56.614
ai370_2CATAC_2big_4little,56.671
ai370_2CATAC_2big_4little,56.663
ai370_2CATAC_2big_4little,56.679
ai370_2CATAC_2big_4little,56.698
ai370_2CATAC_2big_4little,56.645
ai370_2CATAC_2big_4little,56.654
ai370_2CATAC_2big_4little,56.655
ai370_2CATAC_2big_4little,56.654
ai370_2CATAC_2big_4little,56.608
ai370_2CATAC_4big_8little,56.919
ai370_2CATAC_4big_8little,60.895
ai370_2CATAC_4big_8little,60.545
ai370_2CATAC_4big_8little,60.643
ai370_2CATAC_4big_8little,60.697
ai370_2CATAC_4big_8little,60.036
ai370_2CATAC_4big_8little,60.294
ai370_2CATAC_4big_8little,58.915
ai370_2CATAC_4big_8little,60.889
ai370_2CATAC_4big_8little,60.722
ai370_FERTAC_2big_4little,56.654
ai370_FERTAC_2big_4little,56.601
ai370_FERTAC_2big_4little,56.658
ai370_FERTAC_2big_4little,56.669
ai370_FERTAC_2big_4little,56.640
ai370_FERTAC_2big_4little,56.650
ai370_FERTAC_2big_4little,56.691
ai370_FERTAC_2big_4little,56.635
ai370_FERTAC_2big_4little,56.678
ai370_FERTAC_2big_4little,56.640
ai370_FERTAC_4big_8little,60.846
ai370_FERTAC_4big_8little,60.810
ai370_FERTAC_4big_8little,60.699
ai370_FERTAC_4big_8little,60.300
ai370_FERTAC_4big_8little,60.561
ai370_FERTAC_4big_8little,60.633
ai370_FERTAC_4big_8little,60.650
ai370_FERTAC_4big_8little,60.441
ai370_FERTAC_4big_8little,60.401
ai370_FERTAC_4big_8little,60.736
ai370_HeRAD_2big_4little,56.532
ai370_HeRAD_2big_4little,56.602
ai370_HeRAD_2big_4little,56.518
ai370_HeRAD_2big_4little,56.535
ai370_HeRAD_2big_4little,56.537
ai370_HeRAD_2big_4little,56.657
ai370_HeRAD_2big_4little,56.671
ai370_HeRAD_2big_4little,56.664
ai370_HeRAD_2big_4little,56.639
ai370_HeRAD_2big_4little,56.633
ai370_HeRAD_4big_8little,58.286
ai370_HeRAD_4big_8little,58.304
ai370_HeRAD_4big_8little,57.089
ai370_HeRAD_4big_8little,58.639
ai370_HeRAD_4big_8little,58.072
ai370_HeRAD_4big_8little,58.685
ai370_HeRAD_4big_8little,58.431
ai370_HeRAD_4big_8little,58.376
ai370_HeRAD_4big_8little,58.292
ai370_HeRAD_4big_8little,58.339
ai370_OTAC_big_2big_4little,27.748
ai370_OTAC_big_2big_4little,27.698
ai370_OTAC_big_2big_4little,27.780
ai370_OTAC_big_2big_4little,27.712
ai370_OTAC_big_2big_4little,27.795
ai370_OTAC_big_2big_4little,27.825
ai370_OTAC_big_2big_4little,27.765
ai370_OTAC_big_2big_4little,27.720
ai370_OTAC_big_2big_4little,27.753
ai370_OTAC_big_2big_4little,27.759
ai370_OTAC_big_4big_8little,45.514
ai370_OTAC_big_4big_8little,45.562
ai370_OTAC_big_4big_8little,45.695
ai370_OTAC_big_4big_8little,45.286
ai370_OTAC_big_4big_8little,45.020
ai370_OTAC_big_4big_8little,45.708
ai370_OTAC_big_4big_8little,45.727
ai370_OTAC_big_4big_8little,45.462
ai370_OTAC_big_4big_8little,45.602
ai370_OTAC_big_4big_8little,45.699
ai370_OTAC_little_2big_4little,34.708
ai370_OTAC_little_2big_4little,34.733
ai370_OTAC_little_2big_4little,34.707
ai370_OTAC_little_2big_4little,34.701
ai370_OTAC_little_2big_4little,34.702
ai370_OTAC_little_2big_4little,34.702
ai370_OTAC_little_2big_4little,34.716
ai370_OTAC_little_2big_4little,34.675
ai370_OTAC_little_2big_4little,34.686
ai370_OTAC_little_2big_4little,34.732
ai370_OTAC_little_4big_8little,52.421
ai370_OTAC_little_4big_8little,52.500
ai370_OTAC_little_4big_8little,52.562
ai370_OTAC_little_4big_8little,52.541
ai370_OTAC_little_4big_8little,52.568
ai370_OTAC_little_4big_8little,52.537
ai370_OTAC_little_4big_8little,52.425
ai370_OTAC_little_4big_8little,52.499
ai370_OTAC_little_4big_8little,52.518
ai370_OTAC_little_4big_8little,52.425
