node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
ai370,2CATAC,guided,4,2,4,2,half,56.65409999999999,56.608,56.698,0.09000000000000341,0.027343290869162245
ai370,2CATAC,guided,8,4,6,1,full,60.055499999999995,56.919,60.895,3.976000000000006,1.2488051400349784
ai370,FERTAC,guided,4,2,4,2,half,56.651599999999995,56.601,56.691,0.09000000000000341,0.02518023916575173
ai370,FERTAC,guided,8,4,6,1,full,60.60769999999999,60.3,60.846,0.5459999999999994,0.18021964993369055
ai370,HeRAD,guided,4,2,4,2,half,56.5988,56.518,56.671,0.1529999999999987,0.06193867935305136
ai370,HeRAD,guided,8,4,6,1,full,58.25129999999999,57.089,58.685,1.5960000000000036,0.44505531491415073
ai370,OTAC_big,guided,4,2,0,2,half,27.7555,27.698,27.825,0.1269999999999989,0.03889372985742353
ai370,OTAC_big,guided,8,4,0,4,full,45.52749999999999,45.02,45.727,0.7069999999999936,0.2253245806978587
ai370,OTAC_little,guided,4,2,4,0,half,34.7062,34.675,34.733,0.05799999999999983,0.018035766933759474
ai370,OTAC_little,guided,8,4,7,0,full,52.4996,52.421,52.568,0.14699999999999847,0.057089014315852046
