sched_name,throughput_mbps
m1u_2CATAC_16big_4little,55.623
m1u_2CATAC_16big_4little,55.149
m1u_2CATAC_16big_4little,56.153
m1u_2CATAC_16big_4little,54.899
m1u_2CATAC_16big_4little,54.833
m1u_2CATAC_16big_4little,55.273
m1u_2CATAC_16big_4little,56.069
m1u_2CATAC_16big_4little,55.875
m1u_2CATAC_16big_4little,55.252
m1u_2CATAC_16big_4little,56.008
m1u_2CATAC_8big_2little,47.260
m1u_2CATAC_8big_2little,47.927
m1u_2CATAC_8big_2little,48.833
m1u_2CATAC_8big_2little,47.797
m1u_2CATAC_8big_2little,48.275
m1u_2CATAC_8big_2little,48.171
m1u_2CATAC_8big_2little,47.589
m1u_2CATAC_8big_2little,48.835
m1u_2CATAC_8big_2little,47.613
m1u_2CATAC_8big_2little,47.809
m1u_FERTAC_16big_4little,55.089
m1u_FERTAC_16big_4little,55.381
m1u_FERTAC_16big_4little,55.162
m1u_FERTAC_16big_4little,55.367
m1u_FERTAC_16big_4little,55.150
m1u_FERTAC_16big_4little,55.693
m1u_FERTAC_16big_4little,55.405
m1u_FERTAC_16big_4little,54.999
m1u_FERTAC_16big_4little,55.108
m1u_FERTAC_16big_4little,54.684
m1u_FERTAC_8big_2little,42.746
m1u_FERTAC_8big_2little,42.846
m1u_FERTAC_8big_2little,42.901
m1u_FERTAC_8big_2little,42.879
m1u_FERTAC_8big_2little,42.945
m1u_FERTAC_8big_2little,42.983
m1u_FERTAC_8big_2little,42.562
m1u_FERTAC_8big_2little,42.983
m1u_FERTAC_8big_2little,42.578
m1u_FERTAC_8big_2little,42.677
m1u_HeRAD_16big_4little,55.576
m1u_HeRAD_16big_4little,55.268
m1u_HeRAD_16big_4little,55.070
m1u_HeRAD_16big_4little,55.109
m1u_HeRAD_16big_4little,56.089
m1u_HeRAD_16big_4little,54.951
m1u_HeRAD_16big_4little,55.677
m1u_HeRAD_16big_4little,55.813
m1u_HeRAD_16big_4little,55.863
m1u_HeRAD_16big_4little,55.896
m1u_HeRAD_8big_2little,47.409
m1u_HeRAD_8big_2little,46.858
m1u_HeRAD_8big_2little,47.445
m1u_HeRAD_8big_2little,47.333
m1u_HeRAD_8big_2little,47.797
m1u_HeRAD_8big_2little,47.816
m1u_HeRAD_8big_2little,48.655
m1u_HeRAD_8big_2little,47.857
m1u_HeRAD_8big_2little,47.856
m1u_HeRAD_8big_2little,47.894
m1u_OTAC_big_16big_4little,43.276
m1u_OTAC_big_16big_4little,42.634
m1u_OTAC_big_16big_4little,43.021
m1u_OTAC_big_16big_4little,43.195
m1u_OTAC_big_16big_4little,40.291
m1u_OTAC_big_16big_4little,42.480
m1u_OTAC_big_16big_4little,42.653
m1u_OTAC_big_16big_4little,43.441
m1u_OTAC_big_16big_4little,41.969
m1u_OTAC_big_16big_4little,41.266
m1u_OTAC_big_8big_2little,38.685
m1u_OTAC_big_8big_2little,39.496
m1u_OTAC_big_8big_2little,38.781
m1u_OTAC_big_8big_2little,38.611
m1u_OTAC_big_8big_2little,38.608
m1u_OTAC_big_8big_2little,38.625
m1u_OTAC_big_8big_2little,38.639
m1u_OTAC_big_8big_2little,38.795
m1u_OTAC_big_8big_2little,39.460
m1u_OTAC_big_8big_2little,38.755
m1u_OTAC_little_16big_4little,8.686
m1u_OTAC_little_16big_4little,8.648
m1u_OTAC_little_16big_4little,8.700
m1u_OTAC_little_16big_4little,8.682
m1u_OTAC_little_16big_4little,8.663
m1u_OTAC_little_16big_4little,8.684
m1u_OTAC_little_16big_4little,8.675
m1u_OTAC_little_16big_4little,8.612
m1u_OTAC_little_16big_4little,8.660
m1u_OTAC_little_16big_4little,8.687
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.972
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.972
m1u_OTAC_little_8big_2little,4.977
m1u_OTAC_little_8big_2little,4.972
m1u_OTAC_little_8big_2little,4.971
m1u_OTAC_little_8big_2little,4.970
m1u_OTAC_little_8big_2little,4.969
m1u_OTAC_little_8big_2little,4.972
