node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
m1u,2CATAC,guided,4,16,4,8,full,55.513400000000004,54.833,56.153,1.3200000000000003,0.49492046499075665
m1u,2CATAC,guided,2,8,1,8,half,48.01089999999999,47.26,48.835,1.5750000000000028,0.5211206833994091
m1u,FERTAC,guided,4,16,4,9,full,55.2038,54.684,55.693,1.0090000000000003,0.27425973091214106
m1u,FERTAC,guided,2,8,2,8,half,42.81,42.562,42.983,0.4209999999999994,0.1596990224696993
m1u,HeRAD,guided,4,16,4,8,full,55.5312,54.951,56.089,1.1379999999999981,0.40191922903323046
m1u,HeRAD,guided,2,8,1,8,half,47.69199999999999,46.858,48.655,1.7970000000000041,0.47307856993668007
m1u,OTAC_big,guided,4,16,0,10,full,42.4226,40.291,43.441,3.1500000000000057,0.9948968902465347
m1u,OTAC_big,guided,2,8,0,8,half,38.8455,38.608,39.496,0.8880000000000052,0.3406008579619918
m1u,OTAC_little,guided,4,16,4,0,full,8.669699999999999,8.612,8.7,0.08799999999999919,0.025399256332070314
m1u,OTAC_little,guided,2,8,2,0,half,4.971500000000001,4.969,4.977,0.008000000000000007,0.0022236106773545323
