node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
x7ti,2CATAC,guided,4,3,4,3,half,39.7303,39.441,40.248,0.806999999999995,0.28446169435541807
x7ti,2CATAC,guided,8,6,8,5,full,70.13489999999999,67.665,71.772,4.106999999999999,1.1893679413873568
x7ti,FERTAC,guided,4,3,4,3,half,36.4315,35.746,37.997,2.2509999999999977,0.7589800539027501
x7ti,FERTAC,guided,8,6,8,6,full,61.0271,56.668,63.447,6.7790000000000035,2.7801612443245887
x7ti,HeRAD,guided,4,3,4,3,half,39.0031,37.44,39.924,2.4840000000000018,0.9282702492030843
x7ti,HeRAD,guided,8,6,8,5,full,70.1214,68.525,71.573,3.0479999999999876,1.0796868064397174
x7ti,OTAC_big,guided,4,3,0,3,half,18.737299999999998,18.157,19.374,1.2169999999999987,0.4144954228402953
x7ti,OTAC_big,guided,8,6,0,6,full,36.878699999999995,36.296,38.59,2.294000000000004,0.645182325651699
x7ti,OTAC_little,guided,4,3,4,0,half,14.947,14.853,15.039,0.18599999999999994,0.05267721413371123
x7ti,OTAC_little,guided,8,6,8,0,full,26.065499999999997,25.819,26.201,0.38200000000000145,0.13105660354722087
