sched_name,throughput_mbps
m1u_2CATAC_16big_4little,55.117
m1u_2CATAC_16big_4little,55.238
m1u_2CATAC_16big_4little,54.606
m1u_2CATAC_16big_4little,55.690
m1u_2CATAC_16big_4little,54.929
m1u_2CATAC_16big_4little,55.115
m1u_2CATAC_16big_4little,55.443
m1u_2CATAC_16big_4little,55.252
m1u_2CATAC_16big_4little,55.426
m1u_2CATAC_16big_4little,55.528
m1u_2CATAC_8big_2little,47.565
m1u_2CATAC_8big_2little,49.034
m1u_2CATAC_8big_2little,47.758
m1u_2CATAC_8big_2little,48.183
m1u_2CATAC_8big_2little,47.874
m1u_2CATAC_8big_2little,48.550
m1u_2CATAC_8big_2little,48.718
m1u_2CATAC_8big_2little,47.738
m1u_2CATAC_8big_2little,48.587
m1u_2CATAC_8big_2little,47.533
m1u_FERTAC_16big_4little,55.105
m1u_FERTAC_16big_4little,54.892
m1u_FERTAC_16big_4little,55.638
m1u_FERTAC_16big_4little,55.404
m1u_FERTAC_16big_4little,55.550
m1u_FERTAC_16big_4little,55.155
m1u_FERTAC_16big_4little,54.451
m1u_FERTAC_16big_4little,54.977
m1u_FERTAC_16big_4little,54.808
m1u_FERTAC_16big_4little,54.853
m1u_FERTAC_8big_2little,42.943
m1u_FERTAC_8big_2little,42.922
m1u_FERTAC_8big_2little,42.667
m1u_FERTAC_8big_2little,42.500
m1u_FERTAC_8big_2little,42.547
m1u_FERTAC_8big_2little,42.492
m1u_FERTAC_8big_2little,42.878
m1u_FERTAC_8big_2little,42.826
m1u_FERTAC_8big_2little,42.938
m1u_FERTAC_8big_2little,42.476
m1u_HeRAD_16big_4little,55.442
m1u_HeRAD_16big_4little,54.019
m1u_HeRAD_16big_4little,54.898
m1u_HeRAD_16big_4little,54.775
m1u_HeRAD_16big_4little,55.650
m1u_HeRAD_16big_4little,55.051
m1u_HeRAD_16big_4little,54.865
m1u_HeRAD_16big_4little,55.530
m1u_HeRAD_16big_4little,54.886
m1u_HeRAD_16big_4little,55.670
m1u_HeRAD_8big_2little,47.935
m1u_HeRAD_8big_2little,47.886
m1u_HeRAD_8big_2little,46.566
m1u_HeRAD_8big_2little,47.563
m1u_HeRAD_8big_2little,48.270
m1u_HeRAD_8big_2little,47.792
m1u_HeRAD_8big_2little,47.737
m1u_HeRAD_8big_2little,48.097
m1u_HeRAD_8big_2little,47.406
m1u_HeRAD_8big_2little,47.823
m1u_OTAC_big_16big_4little,54.941
m1u_OTAC_big_16big_4little,54.664
m1u_OTAC_big_16big_4little,55.259
m1u_OTAC_big_16big_4little,55.925
m1u_OTAC_big_16big_4little,56.128
m1u_OTAC_big_16big_4little,55.549
m1u_OTAC_big_16big_4little,55.663
m1u_OTAC_big_16big_4little,56.035
m1u_OTAC_big_16big_4little,55.158
m1u_OTAC_big_16big_4little,55.166
m1u_OTAC_big_8big_2little,37.669
m1u_OTAC_big_8big_2little,38.779
m1u_OTAC_big_8big_2little,38.696
m1u_OTAC_big_8big_2little,39.497
m1u_OTAC_big_8big_2little,39.354
m1u_OTAC_big_8big_2little,37.036
m1u_OTAC_big_8big_2little,38.799
m1u_OTAC_big_8big_2little,38.608
m1u_OTAC_big_8big_2little,38.884
m1u_OTAC_big_8big_2little,39.314
m1u_OTAC_little_16big_4little,19.556
m1u_OTAC_little_16big_4little,19.462
m1u_OTAC_little_16big_4little,19.434
m1u_OTAC_little_16big_4little,19.183
m1u_OTAC_little_16big_4little,19.551
m1u_OTAC_little_16big_4little,19.732
m1u_OTAC_little_16big_4little,19.744
m1u_OTAC_little_16big_4little,19.280
m1u_OTAC_little_16big_4little,19.739
m1u_OTAC_little_16big_4little,19.444
m1u_OTAC_little_8big_2little,11.542
m1u_OTAC_little_8big_2little,11.649
m1u_OTAC_little_8big_2little,11.663
m1u_OTAC_little_8big_2little,11.661
m1u_OTAC_little_8big_2little,11.633
m1u_OTAC_little_8big_2little,11.643
m1u_OTAC_little_8big_2little,11.594
m1u_OTAC_little_8big_2little,11.626
m1u_OTAC_little_8big_2little,11.648
m1u_OTAC_little_8big_2little,11.639
