node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
m1u,2CATAC,loose,4,16,4,8,full,55.234399999999994,54.606,55.69,1.083999999999996,0.3145569017593538
m1u,2CATAC,loose,2,8,1,8,half,48.154,47.533,49.034,1.5009999999999977,0.535254456621646
m1u,FERTAC,loose,4,16,4,9,full,55.083299999999994,54.451,55.638,1.1869999999999976,0.36674061375552247
m1u,FERTAC,loose,2,8,2,8,half,42.7189,42.476,42.943,0.46699999999999875,0.20190836755540634
m1u,HeRAD,loose,4,16,4,8,full,55.07860000000001,54.019,55.67,1.6510000000000034,0.510239203163031
m1u,HeRAD,loose,2,8,1,8,half,47.707499999999996,46.566,48.27,1.7040000000000006,0.4699752357542069
m1u,OTAC_big,loose,4,16,0,10,full,55.448800000000006,54.664,56.128,1.4639999999999986,0.49012102813715397
m1u,OTAC_big,loose,2,8,0,8,half,38.6636,37.036,39.497,2.4609999999999985,0.7686139328543153
m1u,OTAC_little,loose,4,16,4,0,full,19.512499999999996,19.183,19.744,0.5609999999999999,0.19220374028040588
m1u,OTAC_little,loose,2,8,2,0,half,11.6298,11.542,11.663,0.12100000000000044,0.036590223345102
