node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
opi5,2CATAC,loose,2,2,2,2,half,8.104800000000001,8.036,8.152,0.11599999999999966,0.04536714425416004
opi5,2CATAC,loose,4,4,4,4,full,14.3907,14.202,14.708,0.5060000000000002,0.14504102867809518
opi5,FERTAC,loose,2,2,2,2,half,7.770999999999999,7.678,7.831,0.15300000000000047,0.05087457343528515
opi5,FERTAC,loose,4,4,4,4,full,13.067400000000001,12.991,13.231,0.2400000000000002,0.0804103365384217
opi5,HeRAD,loose,2,2,2,2,half,8.067,7.992,8.132,0.13999999999999968,0.04566058353644728
opi5,HeRAD,loose,4,4,4,4,full,14.9905,14.769,15.36,0.5909999999999993,0.20403226868970187
opi5,OTAC_big,loose,2,2,0,2,half,5.4674,5.433,5.491,0.05799999999999983,0.02450940862426321
opi5,OTAC_big,loose,4,4,0,4,full,9.244699999999998,9.205,9.326,0.12100000000000044,0.04044213973897375
opi5,OTAC_little,loose,2,2,2,0,half,4.7554,4.723,4.784,0.06099999999999994,0.015189177433656833
opi5,OTAC_little,loose,4,4,4,0,full,8.109,8.04,8.167,0.12700000000000067,0.0424892143176753
