node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
x7ti,2CATAC,loose,4,3,4,3,half,43.9063,43.756,44.095,0.33899999999999864,0.10933541664681866
x7ti,2CATAC,loose,8,6,8,5,full,59.385799999999996,58.819,60.301,1.4819999999999993,0.40827082514755686
x7ti,FERTAC,loose,4,3,4,3,half,38.3521,38.116,38.676,0.5600000000000023,0.17706900726364774
x7ti,FERTAC,loose,8,6,8,6,full,65.39800000000001,65.224,65.607,0.38299999999999557,0.12048605267369535
x7ti,HeRAD,loose,4,3,4,3,half,44.09160000000001,43.881,44.408,0.527000000000001,0.1682321147832498
x7ti,HeRAD,loose,8,6,8,5,full,59.06669999999999,58.534,59.801,1.267000000000003,0.41296113618596136
x7ti,OTAC_big,loose,4,3,0,3,half,19.465600000000002,19.216,19.627,0.4109999999999978,0.1219710348129145
x7ti,OTAC_big,loose,8,6,0,6,full,38.575900000000004,38.279,39.016,0.7369999999999948,0.23200692039486803
x7ti,OTAC_little,loose,4,3,4,0,half,26.881099999999996,26.681,26.995,0.31400000000000006,0.08623668979423231
x7ti,OTAC_little,loose,8,6,8,0,full,47.686099999999996,47.516,47.803,0.28699999999999903,0.0922995726485837
