sched_name,throughput_mbps
ai370_os_R1,42.769
ai370_os_R1,52.435
ai370_os_R1,52.758
ai370_os_R1,42.507
ai370_os_R1,52.664
ai370_os_R1,52.292
ai370_os_R1,51.426
ai370_os_R1,49.862
ai370_os_R1,42.444
ai370_os_R1,51.628
ai370_os_R1,42.744
ai370_os_R1,52.724
ai370_os_R1,48.945
ai370_os_R1,52.806
ai370_os_R1,51.543
ai370_os_R2,29.999
ai370_os_R2,26.670
ai370_os_R2,26.914
ai370_os_R2,26.364
ai370_os_R2,28.104
ai370_os_R2,30.550
ai370_os_R2,33.560
ai370_os_R2,30.163
ai370_os_R2,30.762
ai370_os_R2,29.765
ai370_os_R2,30.387
ai370_os_R2,24.540
ai370_os_R2,26.274
ai370_os_R2,30.270
ai370_os_R2,30.887
ai370_os_R3,22.537
ai370_os_R3,21.609
ai370_os_R3,21.736
ai370_os_R3,15.955
ai370_os_R3,17.526
ai370_os_R3,17.875
ai370_os_R3,19.204
ai370_os_R3,20.740
ai370_os_R3,23.069
ai370_os_R3,20.930
ai370_os_R3,17.246
ai370_os_R3,19.192
ai370_os_R3,21.886
ai370_os_R3,17.569
ai370_os_R3,17.310
