sched_name,throughput_mbps
opi5_os_R1,8.927
opi5_os_R1,9.008
opi5_os_R1,8.950
opi5_os_R1,8.979
opi5_os_R1,8.820
opi5_os_R1,8.916
opi5_os_R1,8.986
opi5_os_R1,8.878
opi5_os_R1,8.950
opi5_os_R1,8.929
opi5_os_R1,8.963
opi5_os_R1,8.916
opi5_os_R1,8.817
opi5_os_R1,8.873
opi5_os_R1,8.922
opi5_os_R2,7.035
opi5_os_R2,6.895
opi5_os_R2,6.809
opi5_os_R2,6.784
opi5_os_R2,6.774
opi5_os_R2,6.792
opi5_os_R2,6.790
opi5_os_R2,6.745
opi5_os_R2,6.760
opi5_os_R2,6.751
opi5_os_R2,6.718
opi5_os_R2,6.696
opi5_os_R2,6.698
opi5_os_R2,6.678
opi5_os_R2,6.690
opi5_os_R3,4.531
opi5_os_R3,4.525
opi5_os_R3,4.529
opi5_os_R3,4.529
opi5_os_R3,4.538
opi5_os_R3,4.518
opi5_os_R3,4.519
opi5_os_R3,4.525
opi5_os_R3,4.521
opi5_os_R3,4.514
opi5_os_R3,4.515
opi5_os_R3,4.517
opi5_os_R3,4.531
opi5_os_R3,4.533
opi5_os_R3,4.531
