sched_name,throughput_mbps
x7ti_os_R1,18.505
x7ti_os_R1,18.633
x7ti_os_R1,18.514
x7ti_os_R1,18.155
x7ti_os_R1,18.084
x7ti_os_R1,18.083
x7ti_os_R1,18.192
x7ti_os_R1,18.054
x7ti_os_R1,18.102
x7ti_os_R1,18.501
x7ti_os_R1,18.378
x7ti_os_R1,18.291
x7ti_os_R1,18.120
x7ti_os_R1,18.247
x7ti_os_R1,18.109
x7ti_os_R2,17.509
x7ti_os_R2,17.514
x7ti_os_R2,17.459
x7ti_os_R2,17.458
x7ti_os_R2,17.508
x7ti_os_R2,17.457
x7ti_os_R2,17.361
x7ti_os_R2,17.408
x7ti_os_R2,17.415
x7ti_os_R2,17.402
x7ti_os_R2,17.435
x7ti_os_R2,17.454
x7ti_os_R2,17.392
x7ti_os_R2,17.457
x7ti_os_R2,17.477
x7ti_os_R3,15.456
x7ti_os_R3,15.575
x7ti_os_R3,15.520
x7ti_os_R3,15.483
x7ti_os_R3,15.486
x7ti_os_R3,15.535
x7ti_os_R3,15.586
x7ti_os_R3,15.507
x7ti_os_R3,15.574
x7ti_os_R3,15.450
x7ti_os_R3,15.500
x7ti_os_R3,15.551
x7ti_os_R3,15.476
x7ti_os_R3,15.580
x7ti_os_R3,15.409
x7ti_os_R4,13.658
x7ti_os_R4,13.399
x7ti_os_R4,13.465
x7ti_os_R4,13.622
x7ti_os_R4,13.444
x7ti_os_R4,13.283
x7ti_os_R4,13.362
x7ti_os_R4,13.496
x7ti_os_R4,13.717
x7ti_os_R4,13.557
x7ti_os_R4,13.458
x7ti_os_R4,13.789
x7ti_os_R4,13.593
x7ti_os_R4,13.562
x7ti_os_R4,13.726
x7ti_os_R5,11.672
x7ti_os_R5,11.403
x7ti_os_R5,11.540
x7ti_os_R5,11.419
x7ti_os_R5,11.656
x7ti_os_R5,11.553
x7ti_os_R5,11.394
x7ti_os_R5,11.563
x7ti_os_R5,11.544
x7ti_os_R5,11.337
x7ti_os_R5,11.607
x7ti_os_R5,11.651
x7ti_os_R5,11.508
x7ti_os_R5,11.444
x7ti_os_R5,11.554
x7ti_os_R6,10.595
x7ti_os_R6,10.590
x7ti_os_R6,10.653
x7ti_os_R6,10.853
x7ti_os_R6,10.245
x7ti_os_R6,10.309
x7ti_os_R6,10.360
x7ti_os_R6,10.413
x7ti_os_R6,10.496
x7ti_os_R6,10.401
x7ti_os_R6,10.423
x7ti_os_R6,10.384
x7ti_os_R6,10.609
x7ti_os_R6,10.545
x7ti_os_R6,10.705
x7ti_os_R7,9.067
x7ti_os_R7,9.156
x7ti_os_R7,9.106
x7ti_os_R7,8.994
x7ti_os_R7,9.278
x7ti_os_R7,9.250
x7ti_os_R7,8.964
x7ti_os_R7,8.642
x7ti_os_R7,9.248
x7ti_os_R7,9.006
x7ti_os_R7,9.229
x7ti_os_R7,9.180
x7ti_os_R7,9.184
x7ti_os_R7,9.098
x7ti_os_R7,9.387
