sched_name,throughput_mbps
ai370_2CATAC_2big_4little,56.680
ai370_2CATAC_2big_4little,56.654
ai370_2CATAC_2big_4little,56.649
ai370_2CATAC_2big_4little,56.672
ai370_2CATAC_2big_4little,56.650
ai370_2CATAC_2big_4little,56.635
ai370_2CATAC_2big_4little,56.655
ai370_2CATAC_2big_4little,56.662
ai370_2CATAC_2big_4little,56.300
ai370_2CATAC_2big_4little,56.632
ai370_2CATAC_4big_8little,58.115
ai370_2CATAC_4big_8little,56.637
ai370_2CATAC_4big_8little,58.238
ai370_2CATAC_4big_8little,58.139
ai370_2CATAC_4big_8little,58.223
ai370_2CATAC_4big_8little,56.477
ai370_2CATAC_4big_8little,58.063
ai370_2CATAC_4big_8little,57.799
ai370_2CATAC_4big_8little,57.577
ai370_2CATAC_4big_8little,57.762
ai370_FERTAC_2big_4little,56.624
ai370_FERTAC_2big_4little,56.617
ai370_FERTAC_2big_4little,56.442
ai370_FERTAC_2big_4little,56.613
ai370_FERTAC_2big_4little,56.622
ai370_FERTAC_2big_4little,56.659
ai370_FERTAC_2big_4little,56.615
ai370_FERTAC_2big_4little,56.634
ai370_FERTAC_2big_4little,56.622
ai370_FERTAC_2big_4little,56.593
ai370_FERTAC_4big_8little,57.641
ai370_FERTAC_4big_8little,57.857
ai370_FERTAC_4big_8little,57.747
ai370_FERTAC_4big_8little,56.877
ai370_FERTAC_4big_8little,58.063
ai370_FERTAC_4big_8little,56.551
ai370_FERTAC_4big_8little,57.692
ai370_FERTAC_4big_8little,57.864
ai370_FERTAC_4big_8little,58.037
ai370_FERTAC_4big_8little,57.582
ai370_HeRAD_2big_4little,56.578
ai370_HeRAD_2big_4little,56.525
ai370_HeRAD_2big_4little,56.641
ai370_HeRAD_2big_4little,56.469
ai370_HeRAD_2big_4little,56.654
ai370_HeRAD_2big_4little,56.656
ai370_HeRAD_2big_4little,56.645
ai370_HeRAD_2big_4little,56.631
ai370_HeRAD_2big_4little,56.696
ai370_HeRAD_2big_4little,56.663
ai370_HeRAD_4big_8little,67.638
ai370_HeRAD_4big_8little,59.833
ai370_HeRAD_4big_8little,59.639
ai370_HeRAD_4big_8little,58.479
ai370_HeRAD_4big_8little,59.989
ai370_HeRAD_4big_8little,59.726
ai370_HeRAD_4big_8little,59.622
ai370_HeRAD_4big_8little,59.718
ai370_HeRAD_4big_8little,59.498
ai370_HeRAD_4big_8little,58.416
ai370_OTAC_big_2big_4little,27.419
ai370_OTAC_big_2big_4little,27.361
ai370_OTAC_big_2big_4little,27.423
ai370_OTAC_big_2big_4little,27.378
ai370_OTAC_big_2big_4little,27.440
ai370_OTAC_big_2big_4little,27.520
ai370_OTAC_big_2big_4little,27.446
ai370_OTAC_big_2big_4little,27.485
ai370_OTAC_big_2big_4little,27.429
ai370_OTAC_big_2big_4little,27.441
ai370_OTAC_big_4big_8little,45.163
ai370_OTAC_big_4big_8little,45.173
ai370_OTAC_big_4big_8little,45.111
ai370_OTAC_big_4big_8little,45.109
ai370_OTAC_big_4big_8little,45.207
ai370_OTAC_big_4big_8little,45.217
ai370_OTAC_big_4big_8little,45.183
ai370_OTAC_big_4big_8little,45.183
ai370_OTAC_big_4big_8little,45.220
ai370_OTAC_big_4big_8little,45.170
ai370_OTAC_little_2big_4little,29.072
ai370_OTAC_little_2big_4little,34.317
ai370_OTAC_little_2big_4little,34.284
ai370_OTAC_little_2big_4little,34.304
ai370_OTAC_little_2big_4little,34.287
ai370_OTAC_little_2big_4little,34.296
ai370_OTAC_little_2big_4little,34.301
ai370_OTAC_little_2big_4little,34.309
ai370_OTAC_little_2big_4little,34.276
ai370_OTAC_little_2big_4little,34.313
ai370_OTAC_little_4big_8little,52.765
ai370_OTAC_little_4big_8little,52.788
ai370_OTAC_little_4big_8little,52.787
ai370_OTAC_little_4big_8little,52.774
ai370_OTAC_little_4big_8little,52.765
ai370_OTAC_little_4big_8little,52.705
ai370_OTAC_little_4big_8little,52.791
ai370_OTAC_little_4big_8little,52.788
ai370_OTAC_little_4big_8little,52.678
ai370_OTAC_little_4big_8little,52.775
