sched_name,throughput_mbps
m1u_2CATAC_16big_4little,55.672
m1u_2CATAC_16big_4little,55.905
m1u_2CATAC_16big_4little,55.878
m1u_2CATAC_16big_4little,55.877
m1u_2CATAC_16big_4little,55.802
m1u_2CATAC_16big_4little,55.880
m1u_2CATAC_16big_4little,55.462
m1u_2CATAC_16big_4little,55.885
m1u_2CATAC_16big_4little,55.884
m1u_2CATAC_16big_4little,55.872
m1u_2CATAC_8big_2little,52.764
m1u_2CATAC_8big_2little,49.727
m1u_2CATAC_8big_2little,52.560
m1u_2CATAC_8big_2little,51.978
m1u_2CATAC_8big_2little,51.448
m1u_2CATAC_8big_2little,50.325
m1u_2CATAC_8big_2little,51.120
m1u_2CATAC_8big_2little,52.824
m1u_2CATAC_8big_2little,51.485
m1u_2CATAC_8big_2little,52.364
m1u_FERTAC_16big_4little,55.666
m1u_FERTAC_16big_4little,55.686
m1u_FERTAC_16big_4little,55.676
m1u_FERTAC_16big_4little,55.670
m1u_FERTAC_16big_4little,55.590
m1u_FERTAC_16big_4little,55.663
m1u_FERTAC_16big_4little,55.686
m1u_FERTAC_16big_4little,55.672
m1u_FERTAC_16big_4little,55.657
m1u_FERTAC_16big_4little,55.655
m1u_FERTAC_8big_2little,42.013
m1u_FERTAC_8big_2little,42.022
m1u_FERTAC_8big_2little,42.025
m1u_FERTAC_8big_2little,42.021
m1u_FERTAC_8big_2little,42.016
m1u_FERTAC_8big_2little,42.042
m1u_FERTAC_8big_2little,42.054
m1u_FERTAC_8big_2little,42.015
m1u_FERTAC_8big_2little,42.050
m1u_FERTAC_8big_2little,42.013
m1u_HeRAD_16big_4little,55.676
m1u_HeRAD_16big_4little,55.880
m1u_HeRAD_16big_4little,55.893
m1u_HeRAD_16big_4little,55.920
m1u_HeRAD_16big_4little,55.902
m1u_HeRAD_16big_4little,55.890
m1u_HeRAD_16big_4little,55.896
m1u_HeRAD_16big_4little,55.923
m1u_HeRAD_16big_4little,55.780
m1u_HeRAD_16big_4little,55.905
m1u_HeRAD_8big_2little,52.965
m1u_HeRAD_8big_2little,52.411
m1u_HeRAD_8big_2little,53.536
m1u_HeRAD_8big_2little,53.767
m1u_HeRAD_8big_2little,52.871
m1u_HeRAD_8big_2little,53.487
m1u_HeRAD_8big_2little,53.281
m1u_HeRAD_8big_2little,51.781
m1u_HeRAD_8big_2little,50.050
m1u_HeRAD_8big_2little,52.609
m1u_OTAC_big_16big_4little,55.941
m1u_OTAC_big_16big_4little,55.941
m1u_OTAC_big_16big_4little,55.921
m1u_OTAC_big_16big_4little,55.946
m1u_OTAC_big_16big_4little,55.925
m1u_OTAC_big_16big_4little,55.914
m1u_OTAC_big_16big_4little,55.909
m1u_OTAC_big_16big_4little,55.904
m1u_OTAC_big_16big_4little,55.608
m1u_OTAC_big_16big_4little,55.929
m1u_OTAC_big_8big_2little,38.413
m1u_OTAC_big_8big_2little,41.486
m1u_OTAC_big_8big_2little,42.299
m1u_OTAC_big_8big_2little,41.983
m1u_OTAC_big_8big_2little,42.123
m1u_OTAC_big_8big_2little,42.019
m1u_OTAC_big_8big_2little,42.439
m1u_OTAC_big_8big_2little,42.950
m1u_OTAC_big_8big_2little,42.720
m1u_OTAC_big_8big_2little,42.236
m1u_OTAC_little_16big_4little,8.645
m1u_OTAC_little_16big_4little,8.597
m1u_OTAC_little_16big_4little,8.670
m1u_OTAC_little_16big_4little,8.642
m1u_OTAC_little_16big_4little,8.700
m1u_OTAC_little_16big_4little,8.679
m1u_OTAC_little_16big_4little,8.668
m1u_OTAC_little_16big_4little,8.663
m1u_OTAC_little_16big_4little,8.668
m1u_OTAC_little_16big_4little,8.676
m1u_OTAC_little_8big_2little,4.977
m1u_OTAC_little_8big_2little,4.976
m1u_OTAC_little_8big_2little,4.977
m1u_OTAC_little_8big_2little,4.977
m1u_OTAC_little_8big_2little,4.976
m1u_OTAC_little_8big_2little,4.977
m1u_OTAC_little_8big_2little,4.976
m1u_OTAC_little_8big_2little,4.976
m1u_OTAC_little_8big_2little,4.977
m1u_OTAC_little_8big_2little,4.977
