node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
m1u,2CATAC,packed,4,16,4,8,full,55.811699999999995,55.462,55.905,0.44299999999999784,0.14069908789090724
m1u,2CATAC,packed,2,8,1,8,half,51.6595,49.727,52.824,3.0970000000000013,1.0470239570643396
m1u,FERTAC,packed,4,16,4,9,full,55.662099999999995,55.59,55.686,0.09599999999999653,0.027460881267722382
m1u,FERTAC,packed,2,8,2,8,half,42.0271,42.013,42.054,0.04100000000000392,0.015652120907049875
m1u,HeRAD,packed,4,16,4,8,full,55.866499999999995,55.676,55.923,0.2469999999999999,0.07808577904387498
m1u,HeRAD,packed,2,8,1,8,half,52.6758,50.05,53.767,3.717000000000006,1.0978153862203905
m1u,OTAC_big,packed,4,16,0,10,full,55.8938,55.608,55.946,0.33800000000000097,0.1014109351982221
m1u,OTAC_big,packed,2,8,0,8,half,41.8668,38.413,42.95,4.537000000000006,1.2792289170520752
m1u,OTAC_little,packed,4,16,4,0,full,8.660800000000002,8.597,8.7,0.10299999999999976,0.027820056713737284
m1u,OTAC_little,packed,2,8,2,0,half,4.9766,4.976,4.977,0.001000000000000334,0.0005163977794944947
