sched_name,throughput_mbps
ai370_2CATAC_2big_4little,56.559
ai370_2CATAC_2big_4little,56.614
ai370_2CATAC_2big_4little,56.591
ai370_2CATAC_2big_4little,56.650
ai370_2CATAC_2big_4little,56.623
ai370_2CATAC_2big_4little,56.651
ai370_2CATAC_2big_4little,56.630
ai370_2CATAC_2big_4little,56.636
ai370_2CATAC_2big_4little,56.671
ai370_2CATAC_2big_4little,56.650
ai370_2CATAC_4big_8little,56.778
ai370_2CATAC_4big_8little,57.956
ai370_2CATAC_4big_8little,57.664
ai370_2CATAC_4big_8little,58.079
ai370_2CATAC_4big_8little,58.194
ai370_2CATAC_4big_8little,58.051
ai370_2CATAC_4big_8little,57.793
ai370_2CATAC_4big_8little,57.927
ai370_2CATAC_4big_8little,57.006
ai370_2CATAC_4big_8little,57.927
ai370_FERTAC_2big_4little,56.633
ai370_FERTAC_2big_4little,56.644
ai370_FERTAC_2big_4little,56.624
ai370_FERTAC_2big_4little,56.643
ai370_FERTAC_2big_4little,56.662
ai370_FERTAC_2big_4little,56.660
ai370_FERTAC_2big_4little,56.651
ai370_FERTAC_2big_4little,56.629
ai370_FERTAC_2big_4little,56.654
ai370_FERTAC_2big_4little,56.666
ai370_FERTAC_4big_8little,58.139
ai370_FERTAC_4big_8little,58.241
ai370_FERTAC_4big_8little,58.071
ai370_FERTAC_4big_8little,56.715
ai370_FERTAC_4big_8little,56.681
ai370_FERTAC_4big_8little,56.619
ai370_FERTAC_4big_8little,58.278
ai370_FERTAC_4big_8little,56.915
ai370_FERTAC_4big_8little,56.829
ai370_FERTAC_4big_8little,58.133
ai370_HeRAD_2big_4little,56.546
ai370_HeRAD_2big_4little,56.630
ai370_HeRAD_2big_4little,56.658
ai370_HeRAD_2big_4little,56.654
ai370_HeRAD_2big_4little,56.631
ai370_HeRAD_2big_4little,56.650
ai370_HeRAD_2big_4little,56.657
ai370_HeRAD_2big_4little,56.583
ai370_HeRAD_2big_4little,56.639
ai370_HeRAD_2big_4little,56.317
ai370_HeRAD_4big_8little,59.809
ai370_HeRAD_4big_8little,58.293
ai370_HeRAD_4big_8little,60.171
ai370_HeRAD_4big_8little,59.693
ai370_HeRAD_4big_8little,59.021
ai370_HeRAD_4big_8little,59.960
ai370_HeRAD_4big_8little,59.830
ai370_HeRAD_4big_8little,64.519
ai370_HeRAD_4big_8little,58.954
ai370_HeRAD_4big_8little,59.940
ai370_OTAC_big_2big_4little,27.759
ai370_OTAC_big_2big_4little,27.820
ai370_OTAC_big_2big_4little,27.774
ai370_OTAC_big_2big_4little,27.818
ai370_OTAC_big_2big_4little,27.733
ai370_OTAC_big_2big_4little,27.753
ai370_OTAC_big_2big_4little,27.748
ai370_OTAC_big_2big_4little,27.794
ai370_OTAC_big_2big_4little,27.849
ai370_OTAC_big_2big_4little,27.742
ai370_OTAC_big_4big_8little,38.184
ai370_OTAC_big_4big_8little,38.181
ai370_OTAC_big_4big_8little,38.166
ai370_OTAC_big_4big_8little,38.173
ai370_OTAC_big_4big_8little,38.170
ai370_OTAC_big_4big_8little,38.198
ai370_OTAC_big_4big_8little,38.190
ai370_OTAC_big_4big_8little,38.150
ai370_OTAC_big_4big_8little,38.171
ai370_OTAC_big_4big_8little,38.206
ai370_OTAC_little_2big_4little,34.719
ai370_OTAC_little_2big_4little,34.731
ai370_OTAC_little_2big_4little,34.693
ai370_OTAC_little_2big_4little,28.863
ai370_OTAC_little_2big_4little,34.710
ai370_OTAC_little_2big_4little,34.726
ai370_OTAC_little_2big_4little,34.736
ai370_OTAC_little_2big_4little,34.736
ai370_OTAC_little_2big_4little,34.725
ai370_OTAC_little_2big_4little,34.723
ai370_OTAC_little_4big_8little,52.432
ai370_OTAC_little_4big_8little,52.531
ai370_OTAC_little_4big_8little,52.543
ai370_OTAC_little_4big_8little,52.509
ai370_OTAC_little_4big_8little,52.498
ai370_OTAC_little_4big_8little,52.523
ai370_OTAC_little_4big_8little,52.411
ai370_OTAC_little_4big_8little,52.484
ai370_OTAC_little_4big_8little,52.526
ai370_OTAC_little_4big_8little,52.510
