node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
m1u,2CATAC,distant,4,16,4,8,full,55.643499999999996,55.458,55.688,0.23000000000000398,0.07271137768220624
m1u,2CATAC,distant,2,8,1,8,half,50.89169999999999,48.38,52.883,4.503,1.5242570539993132
m1u,FERTAC,distant,4,16,4,9,full,55.54740000000002,55.286,55.59,0.30400000000000205,0.09216796261897794
m1u,FERTAC,distant,2,8,2,8,half,41.4202,41.407,41.434,0.027000000000001023,0.008390470785361944
m1u,HeRAD,distant,4,16,4,8,full,55.6278,55.463,55.678,0.2149999999999963,0.06706017198506503
m1u,HeRAD,distant,2,8,1,8,half,51.1576,49.874,52.554,2.6799999999999997,0.9063378325253048
m1u,OTAC_big,distant,4,16,0,10,full,55.535399999999996,54.728,55.665,0.9369999999999976,0.2841053012920069
m1u,OTAC_big,distant,2,8,0,8,half,42.5386,40.922,43.141,2.219000000000001,0.6737052108386217
m1u,OTAC_little,distant,4,16,4,0,full,8.6618,8.614,8.7,0.08599999999999852,0.029843294426423445
m1u,OTAC_little,distant,2,8,2,0,half,4.9706,4.97,4.972,0.002000000000000668,0.0006992058987803345
