sched_name,throughput_mbps
opi5_2CATAC_2big_2little,8.311
opi5_2CATAC_2big_2little,8.235
opi5_2CATAC_2big_2little,8.226
opi5_2CATAC_2big_2little,8.254
opi5_2CATAC_2big_2little,8.240
opi5_2CATAC_2big_2little,8.212
opi5_2CATAC_2big_2little,8.209
opi5_2CATAC_2big_2little,8.235
opi5_2CATAC_2big_2little,8.213
opi5_2CATAC_2big_2little,8.165
opi5_2CATAC_4big_4little,14.857
opi5_2CATAC_4big_4little,14.895
opi5_2CATAC_4big_4little,14.766
opi5_2CATAC_4big_4little,14.691
opi5_2CATAC_4big_4little,14.633
opi5_2CATAC_4big_4little,14.621
opi5_2CATAC_4big_4little,13.845
opi5_2CATAC_4big_4little,14.397
opi5_2CATAC_4big_4little,14.520
opi5_2CATAC_4big_4little,14.474
opi5_FERTAC_2big_2little,7.684
opi5_FERTAC_2big_2little,7.662
opi5_FERTAC_2big_2little,7.671
opi5_FERTAC_2big_2little,7.685
opi5_FERTAC_2big_2little,7.668
opi5_FERTAC_2big_2little,7.685
opi5_FERTAC_2big_2little,7.695
opi5_FERTAC_2big_2little,7.659
opi5_FERTAC_2big_2little,7.652
opi5_FERTAC_2big_2little,7.667
opi5_FERTAC_4big_4little,10.526
opi5_FERTAC_4big_4little,10.507
opi5_FERTAC_4big_4little,10.505
opi5_FERTAC_4big_4little,10.507
opi5_FERTAC_4big_4little,10.505
opi5_FERTAC_4big_4little,10.498
opi5_FERTAC_4big_4little,10.504
opi5_FERTAC_4big_4little,10.505
opi5_FERTAC_4big_4little,10.508
opi5_FERTAC_4big_4little,10.497
opi5_HeRAD_2big_2little,8.204
opi5_HeRAD_2big_2little,8.229
opi5_HeRAD_2big_2little,8.207
opi5_HeRAD_2big_2little,8.161
opi5_HeRAD_2big_2little,8.178
opi5_HeRAD_2big_2little,8.203
opi5_HeRAD_2big_2little,8.205
opi5_HeRAD_2big_2little,8.239
opi5_HeRAD_2big_2little,8.206
opi5_HeRAD_2big_2little,8.207
opi5_HeRAD_4big_4little,15.648
opi5_HeRAD_4big_4little,15.688
opi5_HeRAD_4big_4little,15.559
opi5_HeRAD_4big_4little,15.464
opi5_HeRAD_4big_4little,15.268
opi5_HeRAD_4big_4little,15.239
opi5_HeRAD_4big_4little,15.235
opi5_HeRAD_4big_4little,15.251
opi5_HeRAD_4big_4little,15.188
opi5_HeRAD_4big_4little,15.130
opi5_OTAC_big_2big_2little,5.383
opi5_OTAC_big_2big_2little,5.403
opi5_OTAC_big_2big_2little,5.398
opi5_OTAC_big_2big_2little,5.410
opi5_OTAC_big_2big_2little,5.405
opi5_OTAC_big_2big_2little,5.417
opi5_OTAC_big_2big_2little,5.419
opi5_OTAC_big_2big_2little,5.415
opi5_OTAC_big_2big_2little,5.421
opi5_OTAC_big_2big_2little,5.423
opi5_OTAC_big_4big_4little,9.471
opi5_OTAC_big_4big_4little,9.443
opi5_OTAC_big_4big_4little,9.454
opi5_OTAC_big_4big_4little,9.444
opi5_OTAC_big_4big_4little,9.434
opi5_OTAC_big_4big_4little,9.411
opi5_OTAC_big_4big_4little,9.456
opi5_OTAC_big_4big_4little,9.389
opi5_OTAC_big_4big_4little,9.427
opi5_OTAC_big_4big_4little,9.431
opi5_OTAC_little_2big_2little,2.048
opi5_OTAC_little_2big_2little,2.057
opi5_OTAC_little_2big_2little,2.091
opi5_OTAC_little_2big_2little,2.086
opi5_OTAC_little_2big_2little,2.092
opi5_OTAC_little_2big_2little,2.094
opi5_OTAC_little_2big_2little,2.062
opi5_OTAC_little_2big_2little,2.059
opi5_OTAC_little_2big_2little,2.092
opi5_OTAC_little_2big_2little,2.095
opi5_OTAC_little_4big_4little,3.713
opi5_OTAC_little_4big_4little,3.715
opi5_OTAC_little_4big_4little,3.712
opi5_OTAC_little_4big_4little,3.713
opi5_OTAC_little_4big_4little,3.709
opi5_OTAC_little_4big_4little,3.721
opi5_OTAC_little_4big_4little,3.707
opi5_OTAC_little_4big_4little,3.715
opi5_OTAC_little_4big_4little,3.716
opi5_OTAC_little_4big_4little,3.716
