node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
x7ti,2CATAC,distant,4,3,4,3,half,39.93919999999999,39.455,40.43,0.9750000000000014,0.3284816247186113
x7ti,2CATAC,distant,8,6,8,5,full,70.7435,68.612,71.655,3.0430000000000064,0.97982144064904
x7ti,FERTAC,distant,4,3,4,3,half,37.2438,36.441,38.845,2.4039999999999964,0.8029017928046296
x7ti,FERTAC,distant,8,6,8,6,full,63.5736,63.311,65.101,1.7899999999999991,0.5390065346954933
x7ti,HeRAD,distant,4,3,4,3,half,39.6134,39.044,39.971,0.9269999999999996,0.3665285194300105
x7ti,HeRAD,distant,8,6,8,5,full,71.2809,70.191,72.135,1.9440000000000026,0.6772489202649206
x7ti,OTAC_big,distant,4,3,0,3,half,19.0334,18.762,19.697,0.9349999999999987,0.34577005846853354
x7ti,OTAC_big,distant,8,6,0,6,full,35.3507,34.847,38.063,3.216000000000001,0.9596058276419785
x7ti,OTAC_little,distant,4,3,4,0,half,14.8572,14.698,14.959,0.26099999999999923,0.0937512073996322
x7ti,OTAC_little,distant,8,6,8,0,full,26.142699999999998,26.045,26.202,0.15700000000000003,0.05530531419111321
