sched_name,throughput_mbps
opi5_2CATAC_2big_2little,8.130
opi5_2CATAC_2big_2little,8.104
opi5_2CATAC_2big_2little,8.115
opi5_2CATAC_2big_2little,8.112
opi5_2CATAC_2big_2little,8.093
opi5_2CATAC_2big_2little,8.089
opi5_2CATAC_2big_2little,8.115
opi5_2CATAC_2big_2little,8.108
opi5_2CATAC_2big_2little,8.059
opi5_2CATAC_2big_2little,8.064
opi5_2CATAC_4big_4little,14.715
opi5_2CATAC_4big_4little,14.690
opi5_2CATAC_4big_4little,14.598
opi5_2CATAC_4big_4little,14.563
opi5_2CATAC_4big_4little,14.486
opi5_2CATAC_4big_4little,14.416
opi5_2CATAC_4big_4little,14.357
opi5_2CATAC_4big_4little,14.393
opi5_2CATAC_4big_4little,14.338
opi5_2CATAC_4big_4little,14.418
opi5_FERTAC_2big_2little,7.708
opi5_FERTAC_2big_2little,7.688
opi5_FERTAC_2big_2little,7.743
opi5_FERTAC_2big_2little,7.713
opi5_FERTAC_2big_2little,7.768
opi5_FERTAC_2big_2little,7.755
opi5_FERTAC_2big_2little,7.715
opi5_FERTAC_2big_2little,7.724
opi5_FERTAC_2big_2little,7.707
opi5_FERTAC_2big_2little,7.696
opi5_FERTAC_4big_4little,10.527
opi5_FERTAC_4big_4little,10.510
opi5_FERTAC_4big_4little,10.497
opi5_FERTAC_4big_4little,10.563
opi5_FERTAC_4big_4little,10.611
opi5_FERTAC_4big_4little,10.597
opi5_FERTAC_4big_4little,10.607
opi5_FERTAC_4big_4little,10.573
opi5_FERTAC_4big_4little,10.505
opi5_FERTAC_4big_4little,10.511
opi5_HeRAD_2big_2little,8.072
opi5_HeRAD_2big_2little,8.072
opi5_HeRAD_2big_2little,8.068
opi5_HeRAD_2big_2little,8.052
opi5_HeRAD_2big_2little,8.055
opi5_HeRAD_2big_2little,8.079
opi5_HeRAD_2big_2little,8.069
opi5_HeRAD_2big_2little,8.104
opi5_HeRAD_2big_2little,8.086
opi5_HeRAD_2big_2little,8.079
opi5_HeRAD_4big_4little,15.652
opi5_HeRAD_4big_4little,15.616
opi5_HeRAD_4big_4little,15.393
opi5_HeRAD_4big_4little,15.308
opi5_HeRAD_4big_4little,14.665
opi5_HeRAD_4big_4little,15.093
opi5_HeRAD_4big_4little,15.157
opi5_HeRAD_4big_4little,15.198
opi5_HeRAD_4big_4little,15.164
opi5_HeRAD_4big_4little,15.142
opi5_OTAC_big_2big_2little,5.451
opi5_OTAC_big_2big_2little,5.468
opi5_OTAC_big_2big_2little,5.402
opi5_OTAC_big_2big_2little,5.477
opi5_OTAC_big_2big_2little,5.471
opi5_OTAC_big_2big_2little,5.433
opi5_OTAC_big_2big_2little,5.457
opi5_OTAC_big_2big_2little,5.486
opi5_OTAC_big_2big_2little,5.481
opi5_OTAC_big_2big_2little,5.488
opi5_OTAC_big_4big_4little,9.372
opi5_OTAC_big_4big_4little,9.294
opi5_OTAC_big_4big_4little,9.309
opi5_OTAC_big_4big_4little,9.261
opi5_OTAC_big_4big_4little,9.290
opi5_OTAC_big_4big_4little,9.299
opi5_OTAC_big_4big_4little,9.248
opi5_OTAC_big_4big_4little,9.431
opi5_OTAC_big_4big_4little,9.447
opi5_OTAC_big_4big_4little,9.454
opi5_OTAC_little_2big_2little,2.047
opi5_OTAC_little_2big_2little,2.091
opi5_OTAC_little_2big_2little,2.088
opi5_OTAC_little_2big_2little,2.080
opi5_OTAC_little_2big_2little,2.086
opi5_OTAC_little_2big_2little,2.095
opi5_OTAC_little_2big_2little,2.055
opi5_OTAC_little_2big_2little,2.093
opi5_OTAC_little_2big_2little,2.096
opi5_OTAC_little_2big_2little,2.062
opi5_OTAC_little_4big_4little,3.700
opi5_OTAC_little_4big_4little,3.699
opi5_OTAC_little_4big_4little,3.689
opi5_OTAC_little_4big_4little,3.705
opi5_OTAC_little_4big_4little,3.711
opi5_OTAC_little_4big_4little,3.715
opi5_OTAC_little_4big_4little,3.690
opi5_OTAC_little_4big_4little,3.709
opi5_OTAC_little_4big_4little,3.703
opi5_OTAC_little_4big_4little,3.697
