sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,39.528
x7ti_2CATAC_3big_4little,39.865
x7ti_2CATAC_3big_4little,39.967
x7ti_2CATAC_3big_4little,40.248
x7ti_2CATAC_3big_4little,39.486
x7ti_2CATAC_3big_4little,40.066
x7ti_2CATAC_3big_4little,39.520
x7ti_2CATAC_3big_4little,39.536
x7ti_2CATAC_3big_4little,39.646
x7ti_2CATAC_3big_4little,39.441
x7ti_2CATAC_6big_8little,69.587
x7ti_2CATAC_6big_8little,71.688
x7ti_2CATAC_6big_8little,69.829
x7ti_2CATAC_6big_8little,70.960
x7ti_2CATAC_6big_8little,70.242
x7ti_2CATAC_6big_8little,71.772
x7ti_2CATAC_6big_8little,70.181
x7ti_2CATAC_6big_8little,69.496
x7ti_2CATAC_6big_8little,69.929
x7ti_2CATAC_6big_8little,67.665
x7ti_FERTAC_3big_4little,35.746
x7ti_FERTAC_3big_4little,36.036
x7ti_FERTAC_3big_4little,36.346
x7ti_FERTAC_3big_4little,37.424
x7ti_FERTAC_3big_4little,35.768
x7ti_FERTAC_3big_4little,35.911
x7ti_FERTAC_3big_4little,36.134
x7ti_FERTAC_3big_4little,37.997
x7ti_FERTAC_3big_4little,36.871
x7ti_FERTAC_3big_4little,36.082
x7ti_FERTAC_6big_8little,61.400
x7ti_FERTAC_6big_8little,62.564
x7ti_FERTAC_6big_8little,62.899
x7ti_FERTAC_6big_8little,57.590
x7ti_FERTAC_6big_8little,63.043
x7ti_FERTAC_6big_8little,56.998
x7ti_FERTAC_6big_8little,62.629
x7ti_FERTAC_6big_8little,63.447
x7ti_FERTAC_6big_8little,63.033
x7ti_FERTAC_6big_8little,56.668
x7ti_HeRAD_3big_4little,38.493
x7ti_HeRAD_3big_4little,37.440
x7ti_HeRAD_3big_4little,37.540
x7ti_HeRAD_3big_4little,39.271
x7ti_HeRAD_3big_4little,39.922
x7ti_HeRAD_3big_4little,39.924
x7ti_HeRAD_3big_4little,38.931
x7ti_HeRAD_3big_4little,39.622
x7ti_HeRAD_3big_4little,39.874
x7ti_HeRAD_3big_4little,39.014
x7ti_HeRAD_6big_8little,69.969
x7ti_HeRAD_6big_8little,71.192
x7ti_HeRAD_6big_8little,71.573
x7ti_HeRAD_6big_8little,70.406
x7ti_HeRAD_6big_8little,68.525
x7ti_HeRAD_6big_8little,68.878
x7ti_HeRAD_6big_8little,69.226
x7ti_HeRAD_6big_8little,71.354
x7ti_HeRAD_6big_8little,70.640
x7ti_HeRAD_6big_8little,69.451
x7ti_OTAC_big_3big_4little,18.253
x7ti_OTAC_big_3big_4little,19.051
x7ti_OTAC_big_3big_4little,18.569
x7ti_OTAC_big_3big_4little,18.853
x7ti_OTAC_big_3big_4little,18.157
x7ti_OTAC_big_3big_4little,19.374
x7ti_OTAC_big_3big_4little,18.853
x7ti_OTAC_big_3big_4little,18.230
x7ti_OTAC_big_3big_4little,19.054
x7ti_OTAC_big_3big_4little,18.979
x7ti_OTAC_big_6big_8little,37.151
x7ti_OTAC_big_6big_8little,36.296
x7ti_OTAC_big_6big_8little,36.707
x7ti_OTAC_big_6big_8little,36.462
x7ti_OTAC_big_6big_8little,36.855
x7ti_OTAC_big_6big_8little,36.504
x7ti_OTAC_big_6big_8little,36.784
x7ti_OTAC_big_6big_8little,36.714
x7ti_OTAC_big_6big_8little,38.590
x7ti_OTAC_big_6big_8little,36.724
x7ti_OTAC_little_3big_4little,14.925
x7ti_OTAC_little_3big_4little,14.969
x7ti_OTAC_little_3big_4little,14.912
x7ti_OTAC_little_3big_4little,14.853
x7ti_OTAC_little_3big_4little,14.945
x7ti_OTAC_little_3big_4little,15.039
x7ti_OTAC_little_3big_4little,15.011
x7ti_OTAC_little_3big_4little,14.949
x7ti_OTAC_little_3big_4little,14.956
x7ti_OTAC_little_3big_4little,14.911
x7ti_OTAC_little_6big_8little,26.073
x7ti_OTAC_little_6big_8little,26.159
x7ti_OTAC_little_6big_8little,25.836
x7ti_OTAC_little_6big_8little,26.080
x7ti_OTAC_little_6big_8little,26.136
x7ti_OTAC_little_6big_8little,26.139
x7ti_OTAC_little_6big_8little,25.819
x7ti_OTAC_little_6big_8little,26.201
x7ti_OTAC_little_6big_8little,26.114
x7ti_OTAC_little_6big_8little,26.098
