sched_name,throughput_mbps
opi5_2CATAC_2big_2little,8.077
opi5_2CATAC_2big_2little,8.036
opi5_2CATAC_2big_2little,8.152
opi5_2CATAC_2big_2little,8.085
opi5_2CATAC_2big_2little,8.152
opi5_2CATAC_2big_2little,8.079
opi5_2CATAC_2big_2little,8.145
opi5_2CATAC_2big_2little,8.045
opi5_2CATAC_2big_2little,8.134
opi5_2CATAC_2big_2little,8.143
opi5_2CATAC_4big_4little,14.708
opi5_2CATAC_4big_4little,14.560
opi5_2CATAC_4big_4little,14.397
opi5_2CATAC_4big_4little,14.360
opi5_2CATAC_4big_4little,14.389
opi5_2CATAC_4big_4little,14.358
opi5_2CATAC_4big_4little,14.357
opi5_2CATAC_4big_4little,14.295
opi5_2CATAC_4big_4little,14.281
opi5_2CATAC_4big_4little,14.202
opi5_FERTAC_2big_2little,7.786
opi5_FERTAC_2big_2little,7.750
opi5_FERTAC_2big_2little,7.794
opi5_FERTAC_2big_2little,7.678
opi5_FERTAC_2big_2little,7.687
opi5_FERTAC_2big_2little,7.796
opi5_FERTAC_2big_2little,7.809
opi5_FERTAC_2big_2little,7.831
opi5_FERTAC_2big_2little,7.785
opi5_FERTAC_2big_2little,7.794
opi5_FERTAC_4big_4little,13.231
opi5_FERTAC_4big_4little,13.172
opi5_FERTAC_4big_4little,13.100
opi5_FERTAC_4big_4little,12.991
opi5_FERTAC_4big_4little,13.062
opi5_FERTAC_4big_4little,12.998
opi5_FERTAC_4big_4little,13.077
opi5_FERTAC_4big_4little,13.022
opi5_FERTAC_4big_4little,13.003
opi5_FERTAC_4big_4little,13.018
opi5_HeRAD_2big_2little,7.992
opi5_HeRAD_2big_2little,8.105
opi5_HeRAD_2big_2little,8.029
opi5_HeRAD_2big_2little,8.030
opi5_HeRAD_2big_2little,8.110
opi5_HeRAD_2big_2little,8.051
opi5_HeRAD_2big_2little,8.061
opi5_HeRAD_2big_2little,8.113
opi5_HeRAD_2big_2little,8.047
opi5_HeRAD_2big_2little,8.132
opi5_HeRAD_4big_4little,15.360
opi5_HeRAD_4big_4little,15.227
opi5_HeRAD_4big_4little,15.071
opi5_HeRAD_4big_4little,15.086
opi5_HeRAD_4big_4little,15.046
opi5_HeRAD_4big_4little,14.946
opi5_HeRAD_4big_4little,14.777
opi5_HeRAD_4big_4little,14.849
opi5_HeRAD_4big_4little,14.774
opi5_HeRAD_4big_4little,14.769
opi5_OTAC_big_2big_2little,5.433
opi5_OTAC_big_2big_2little,5.455
opi5_OTAC_big_2big_2little,5.437
opi5_OTAC_big_2big_2little,5.436
opi5_OTAC_big_2big_2little,5.481
opi5_OTAC_big_2big_2little,5.491
opi5_OTAC_big_2big_2little,5.484
opi5_OTAC_big_2big_2little,5.476
opi5_OTAC_big_2big_2little,5.491
opi5_OTAC_big_2big_2little,5.490
opi5_OTAC_big_4big_4little,9.289
opi5_OTAC_big_4big_4little,9.275
opi5_OTAC_big_4big_4little,9.255
opi5_OTAC_big_4big_4little,9.214
opi5_OTAC_big_4big_4little,9.206
opi5_OTAC_big_4big_4little,9.227
opi5_OTAC_big_4big_4little,9.222
opi5_OTAC_big_4big_4little,9.228
opi5_OTAC_big_4big_4little,9.326
opi5_OTAC_big_4big_4little,9.205
opi5_OTAC_little_2big_2little,4.746
opi5_OTAC_little_2big_2little,4.723
opi5_OTAC_little_2big_2little,4.749
opi5_OTAC_little_2big_2little,4.758
opi5_OTAC_little_2big_2little,4.762
opi5_OTAC_little_2big_2little,4.758
opi5_OTAC_little_2big_2little,4.758
opi5_OTAC_little_2big_2little,4.757
opi5_OTAC_little_2big_2little,4.784
opi5_OTAC_little_2big_2little,4.759
opi5_OTAC_little_4big_4little,8.122
opi5_OTAC_little_4big_4little,8.163
opi5_OTAC_little_4big_4little,8.067
opi5_OTAC_little_4big_4little,8.086
opi5_OTAC_little_4big_4little,8.167
opi5_OTAC_little_4big_4little,8.099
opi5_OTAC_little_4big_4little,8.150
opi5_OTAC_little_4big_4little,8.117
opi5_OTAC_little_4big_4little,8.079
opi5_OTAC_little_4big_4little,8.040
