sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,44.014
x7ti_2CATAC_3big_4little,44.045
x7ti_2CATAC_3big_4little,43.902
x7ti_2CATAC_3big_4little,44.095
x7ti_2CATAC_3big_4little,43.865
x7ti_2CATAC_3big_4little,43.851
x7ti_2CATAC_3big_4little,43.832
x7ti_2CATAC_3big_4little,43.818
x7ti_2CATAC_3big_4little,43.756
x7ti_2CATAC_3big_4little,43.885
x7ti_2CATAC_6big_8little,58.819
x7ti_2CATAC_6big_8little,59.358
x7ti_2CATAC_6big_8little,59.624
x7ti_2CATAC_6big_8little,58.972
x7ti_2CATAC_6big_8little,59.409
x7ti_2CATAC_6big_8little,59.514
x7ti_2CATAC_6big_8little,59.383
x7ti_2CATAC_6big_8little,60.301
x7ti_2CATAC_6big_8little,59.077
x7ti_2CATAC_6big_8little,59.401
x7ti_FERTAC_3big_4little,38.157
x7ti_FERTAC_3big_4little,38.217
x7ti_FERTAC_3big_4little,38.116
x7ti_FERTAC_3big_4little,38.454
x7ti_FERTAC_3big_4little,38.289
x7ti_FERTAC_3big_4little,38.676
x7ti_FERTAC_3big_4little,38.499
x7ti_FERTAC_3big_4little,38.288
x7ti_FERTAC_3big_4little,38.507
x7ti_FERTAC_3big_4little,38.318
x7ti_FERTAC_6big_8little,65.607
x7ti_FERTAC_6big_8little,65.420
x7ti_FERTAC_6big_8little,65.432
x7ti_FERTAC_6big_8little,65.487
x7ti_FERTAC_6big_8little,65.445
x7ti_FERTAC_6big_8little,65.486
x7ti_FERTAC_6big_8little,65.262
x7ti_FERTAC_6big_8little,65.224
x7ti_FERTAC_6big_8little,65.345
x7ti_FERTAC_6big_8little,65.272
x7ti_HeRAD_3big_4little,44.159
x7ti_HeRAD_3big_4little,44.204
x7ti_HeRAD_3big_4little,44.028
x7ti_HeRAD_3big_4little,44.264
x7ti_HeRAD_3big_4little,43.911
x7ti_HeRAD_3big_4little,44.099
x7ti_HeRAD_3big_4little,43.881
x7ti_HeRAD_3big_4little,43.948
x7ti_HeRAD_3big_4little,44.408
x7ti_HeRAD_3big_4little,44.014
x7ti_HeRAD_6big_8little,59.285
x7ti_HeRAD_6big_8little,58.695
x7ti_HeRAD_6big_8little,58.534
x7ti_HeRAD_6big_8little,58.568
x7ti_HeRAD_6big_8little,58.945
x7ti_HeRAD_6big_8little,59.801
x7ti_HeRAD_6big_8little,59.008
x7ti_HeRAD_6big_8little,59.055
x7ti_HeRAD_6big_8little,59.226
x7ti_HeRAD_6big_8little,59.550
x7ti_OTAC_big_3big_4little,19.216
x7ti_OTAC_big_3big_4little,19.314
x7ti_OTAC_big_3big_4little,19.590
x7ti_OTAC_big_3big_4little,19.462
x7ti_OTAC_big_3big_4little,19.466
x7ti_OTAC_big_3big_4little,19.540
x7ti_OTAC_big_3big_4little,19.479
x7ti_OTAC_big_3big_4little,19.627
x7ti_OTAC_big_3big_4little,19.460
x7ti_OTAC_big_3big_4little,19.502
x7ti_OTAC_big_6big_8little,39.016
x7ti_OTAC_big_6big_8little,38.415
x7ti_OTAC_big_6big_8little,38.761
x7ti_OTAC_big_6big_8little,38.326
x7ti_OTAC_big_6big_8little,38.797
x7ti_OTAC_big_6big_8little,38.512
x7ti_OTAC_big_6big_8little,38.676
x7ti_OTAC_big_6big_8little,38.459
x7ti_OTAC_big_6big_8little,38.518
x7ti_OTAC_big_6big_8little,38.279
x7ti_OTAC_little_3big_4little,26.845
x7ti_OTAC_little_3big_4little,26.907
x7ti_OTAC_little_3big_4little,26.925
x7ti_OTAC_little_3big_4little,26.681
x7ti_OTAC_little_3big_4little,26.944
x7ti_OTAC_little_3big_4little,26.844
x7ti_OTAC_little_3big_4little,26.995
x7ti_OTAC_little_3big_4little,26.911
x7ti_OTAC_little_3big_4little,26.836
x7ti_OTAC_little_3big_4little,26.923
x7ti_OTAC_little_6big_8little,47.803
x7ti_OTAC_little_6big_8little,47.732
x7ti_OTAC_little_6big_8little,47.769
x7ti_OTAC_little_6big_8little,47.547
x7ti_OTAC_little_6big_8little,47.516
x7ti_OTAC_little_6big_8little,47.712
x7ti_OTAC_little_6big_8little,47.683
x7ti_OTAC_little_6big_8little,47.700
x7ti_OTAC_little_6big_8little,47.652
x7ti_OTAC_little_6big_8little,47.747
