sched_name,throughput_mbps
m1u_os_R1,20.906
m1u_os_R1,19.362
m1u_os_R1,20.436
m1u_os_R1,20.515
m1u_os_R1,20.736
m1u_os_R1,18.544
m1u_os_R1,19.275
m1u_os_R1,19.849
m1u_os_R1,19.351
m1u_os_R1,19.396
m1u_os_R1,19.564
m1u_os_R1,19.600
m1u_os_R1,20.506
m1u_os_R1,20.009
m1u_os_R1,21.216
m1u_os_R2,15.828
m1u_os_R2,16.178
m1u_os_R2,16.085
m1u_os_R2,16.242
m1u_os_R2,16.301
m1u_os_R2,16.138
m1u_os_R2,16.099
m1u_os_R2,16.266
m1u_os_R2,16.097
m1u_os_R2,16.239
m1u_os_R2,15.909
m1u_os_R2,16.107
m1u_os_R2,16.442
m1u_os_R2,16.327
m1u_os_R2,15.894
m1u_os_R3,16.045
m1u_os_R3,16.048
m1u_os_R3,15.839
m1u_os_R3,15.848
m1u_os_R3,16.264
m1u_os_R3,16.082
m1u_os_R3,16.108
m1u_os_R3,16.207
m1u_os_R3,15.950
m1u_os_R3,16.134
m1u_os_R3,15.915
m1u_os_R3,15.947
m1u_os_R3,16.123
m1u_os_R3,16.083
m1u_os_R3,15.958
m1u_os_R4,13.994
m1u_os_R4,13.991
m1u_os_R4,13.996
m1u_os_R4,13.972
m1u_os_R4,13.985
m1u_os_R4,13.986
m1u_os_R4,13.976
m1u_os_R4,13.983
m1u_os_R4,13.987
m1u_os_R4,13.983
m1u_os_R4,13.984
m1u_os_R4,13.983
m1u_os_R4,13.988
m1u_os_R4,13.990
m1u_os_R4,13.999
m1u_os_R5,11.192
m1u_os_R5,11.186
m1u_os_R5,11.196
m1u_os_R5,11.168
m1u_os_R5,11.183
m1u_os_R5,11.179
m1u_os_R5,11.175
m1u_os_R5,11.187
m1u_os_R5,11.197
m1u_os_R5,11.190
m1u_os_R5,11.182
m1u_os_R5,11.181
m1u_os_R5,11.190
m1u_os_R5,11.186
m1u_os_R5,11.185
m1u_os_R6,9.311
m1u_os_R6,9.309
m1u_os_R6,9.305
m1u_os_R6,9.316
m1u_os_R6,9.302
m1u_os_R6,9.303
m1u_os_R6,9.310
m1u_os_R6,9.309
m1u_os_R6,9.317
m1u_os_R6,9.314
m1u_os_R6,9.311
m1u_os_R6,9.307
m1u_os_R6,9.319
m1u_os_R6,9.305
m1u_os_R6,9.313
