node,sched,pinning,max_little,max_big,n_little,n_big,strat,thr_mean,thr_min,thr_max,thr_error,thr_std
ai370,2CATAC,packed,4,2,4,2,half,56.6189,56.3,56.68,0.38000000000000256,0.1130127328126258
ai370,2CATAC,packed,8,4,6,1,full,57.702999999999996,56.477,58.238,1.7610000000000028,0.6423974193942918
ai370,FERTAC,packed,4,2,4,2,half,56.6041,56.442,56.659,0.21699999999999875,0.05935664336122024
ai370,FERTAC,packed,8,4,6,1,full,57.5911,56.551,58.063,1.5120000000000005,0.49390720001050936
ai370,HeRAD,packed,4,2,4,2,half,56.6158,56.469,56.696,0.22699999999999676,0.07045692143272868
ai370,HeRAD,packed,8,4,6,1,full,60.2558,58.416,67.638,9.222000000000008,2.650262536261478
ai370,OTAC_big,packed,4,2,0,2,half,27.434200000000004,27.361,27.52,0.15899999999999892,0.046021251129837154
ai370,OTAC_big,packed,8,4,0,4,full,45.17360000000001,45.109,45.22,0.1109999999999971,0.038796334305647454
ai370,OTAC_little,packed,4,2,4,0,half,33.77589999999999,29.072,34.317,5.245000000000001,1.6528342291013005
ai370,OTAC_little,packed,8,4,7,0,full,52.7616,52.678,52.791,0.11299999999999955,0.038661493906872214
