sched_name,throughput_mbps
opi5_2CATAC_2big_2little,8.212
opi5_2CATAC_2big_2little,8.238
opi5_2CATAC_2big_2little,8.206
opi5_2CATAC_2big_2little,8.210
opi5_2CATAC_2big_2little,8.202
opi5_2CATAC_2big_2little,8.214
opi5_2CATAC_2big_2little,8.186
opi5_2CATAC_2big_2little,8.203
opi5_2CATAC_2big_2little,8.181
opi5_2CATAC_2big_2little,8.183
opi5_2CATAC_4big_4little,14.860
opi5_2CATAC_4big_4little,14.909
opi5_2CATAC_4big_4little,14.804
opi5_2CATAC_4big_4little,14.670
opi5_2CATAC_4big_4little,14.644
opi5_2CATAC_4big_4little,14.614
opi5_2CATAC_4big_4little,14.464
opi5_2CATAC_4big_4little,14.494
opi5_2CATAC_4big_4little,14.477
opi5_2CATAC_4big_4little,14.448
opi5_FERTAC_2big_2little,7.597
opi5_FERTAC_2big_2little,7.651
opi5_FERTAC_2big_2little,7.568
opi5_FERTAC_2big_2little,7.605
opi5_FERTAC_2big_2little,7.586
opi5_FERTAC_2big_2little,7.599
opi5_FERTAC_2big_2little,7.629
opi5_FERTAC_2big_2little,7.598
opi5_FERTAC_2big_2little,7.561
opi5_FERTAC_2big_2little,7.625
opi5_FERTAC_4big_4little,10.495
opi5_FERTAC_4big_4little,10.494
opi5_FERTAC_4big_4little,10.486
opi5_FERTAC_4big_4little,10.489
opi5_FERTAC_4big_4little,10.507
opi5_FERTAC_4big_4little,10.481
opi5_FERTAC_4big_4little,10.489
opi5_FERTAC_4big_4little,10.493
opi5_FERTAC_4big_4little,10.508
opi5_FERTAC_4big_4little,10.482
opi5_HeRAD_2big_2little,8.176
opi5_HeRAD_2big_2little,8.159
opi5_HeRAD_2big_2little,8.154
opi5_HeRAD_2big_2little,8.184
opi5_HeRAD_2big_2little,8.159
opi5_HeRAD_2big_2little,8.183
opi5_HeRAD_2big_2little,8.166
opi5_HeRAD_2big_2little,8.180
opi5_HeRAD_2big_2little,8.181
opi5_HeRAD_2big_2little,8.184
opi5_HeRAD_4big_4little,15.709
opi5_HeRAD_4big_4little,15.603
opi5_HeRAD_4big_4little,15.422
opi5_HeRAD_4big_4little,15.374
opi5_HeRAD_4big_4little,15.170
opi5_HeRAD_4big_4little,14.962
opi5_HeRAD_4big_4little,15.111
opi5_HeRAD_4big_4little,15.182
opi5_HeRAD_4big_4little,15.087
opi5_HeRAD_4big_4little,15.201
opi5_OTAC_big_2big_2little,5.368
opi5_OTAC_big_2big_2little,5.388
opi5_OTAC_big_2big_2little,5.385
opi5_OTAC_big_2big_2little,5.383
opi5_OTAC_big_2big_2little,5.380
opi5_OTAC_big_2big_2little,5.391
opi5_OTAC_big_2big_2little,5.395
opi5_OTAC_big_2big_2little,5.394
opi5_OTAC_big_2big_2little,5.397
opi5_OTAC_big_2big_2little,5.399
opi5_OTAC_big_4big_4little,9.482
opi5_OTAC_big_4big_4little,9.470
opi5_OTAC_big_4big_4little,9.466
opi5_OTAC_big_4big_4little,9.453
opi5_OTAC_big_4big_4little,9.461
opi5_OTAC_big_4big_4little,9.441
opi5_OTAC_big_4big_4little,9.442
opi5_OTAC_big_4big_4little,9.408
opi5_OTAC_big_4big_4little,9.441
opi5_OTAC_big_4big_4little,9.433
opi5_OTAC_little_2big_2little,2.082
opi5_OTAC_little_2big_2little,2.055
opi5_OTAC_little_2big_2little,2.093
opi5_OTAC_little_2big_2little,2.066
opi5_OTAC_little_2big_2little,2.089
opi5_OTAC_little_2big_2little,2.066
opi5_OTAC_little_2big_2little,2.100
opi5_OTAC_little_2big_2little,2.095
opi5_OTAC_little_2big_2little,2.066
opi5_OTAC_little_2big_2little,2.064
opi5_OTAC_little_4big_4little,3.721
opi5_OTAC_little_4big_4little,3.717
opi5_OTAC_little_4big_4little,3.714
opi5_OTAC_little_4big_4little,3.693
opi5_OTAC_little_4big_4little,3.721
opi5_OTAC_little_4big_4little,3.705
opi5_OTAC_little_4big_4little,3.704
opi5_OTAC_little_4big_4little,3.713
opi5_OTAC_little_4big_4little,3.708
opi5_OTAC_little_4big_4little,3.658
