sched_name,throughput_mbps
x7ti_2CATAC_3big_4little,36.715
x7ti_2CATAC_3big_4little,37.592
x7ti_2CATAC_3big_4little,37.153
x7ti_2CATAC_3big_4little,37.151
x7ti_2CATAC_3big_4little,37.564
x7ti_2CATAC_3big_4little,37.684
x7ti_2CATAC_3big_4little,37.546
x7ti_2CATAC_3big_4little,37.676
x7ti_2CATAC_3big_4little,37.345
x7ti_2CATAC_3big_4little,37.756
x7ti_2CATAC_6big_8little,70.999
x7ti_2CATAC_6big_8little,71.575
x7ti_2CATAC_6big_8little,70.156
x7ti_2CATAC_6big_8little,70.534
x7ti_2CATAC_6big_8little,70.757
x7ti_2CATAC_6big_8little,72.303
x7ti_2CATAC_6big_8little,71.376
x7ti_2CATAC_6big_8little,70.837
x7ti_2CATAC_6big_8little,70.627
x7ti_2CATAC_6big_8little,70.521
x7ti_FERTAC_3big_4little,34.750
x7ti_FERTAC_3big_4little,35.116
x7ti_FERTAC_3big_4little,35.232
x7ti_FERTAC_3big_4little,35.255
x7ti_FERTAC_3big_4little,35.148
x7ti_FERTAC_3big_4little,35.179
x7ti_FERTAC_3big_4little,36.879
x7ti_FERTAC_3big_4little,35.080
x7ti_FERTAC_3big_4little,35.295
x7ti_FERTAC_3big_4little,35.213
x7ti_FERTAC_6big_8little,65.030
x7ti_FERTAC_6big_8little,63.382
x7ti_FERTAC_6big_8little,63.528
x7ti_FERTAC_6big_8little,63.411
x7ti_FERTAC_6big_8little,63.501
x7ti_FERTAC_6big_8little,63.389
x7ti_FERTAC_6big_8little,63.365
x7ti_FERTAC_6big_8little,63.282
x7ti_FERTAC_6big_8little,63.336
x7ti_FERTAC_6big_8little,65.129
x7ti_HeRAD_3big_4little,38.685
x7ti_HeRAD_3big_4little,38.264
x7ti_HeRAD_3big_4little,38.477
x7ti_HeRAD_3big_4little,38.477
x7ti_HeRAD_3big_4little,38.899
x7ti_HeRAD_3big_4little,38.660
x7ti_HeRAD_3big_4little,38.587
x7ti_HeRAD_3big_4little,38.581
x7ti_HeRAD_3big_4little,38.944
x7ti_HeRAD_3big_4little,39.181
x7ti_HeRAD_6big_8little,71.168
x7ti_HeRAD_6big_8little,71.398
x7ti_HeRAD_6big_8little,71.375
x7ti_HeRAD_6big_8little,71.986
x7ti_HeRAD_6big_8little,71.979
x7ti_HeRAD_6big_8little,71.946
x7ti_HeRAD_6big_8little,71.517
x7ti_HeRAD_6big_8little,71.721
x7ti_HeRAD_6big_8little,71.499
x7ti_HeRAD_6big_8little,70.882
x7ti_OTAC_big_3big_4little,17.697
x7ti_OTAC_big_3big_4little,19.186
x7ti_OTAC_big_3big_4little,18.043
x7ti_OTAC_big_3big_4little,18.089
x7ti_OTAC_big_3big_4little,18.028
x7ti_OTAC_big_3big_4little,18.017
x7ti_OTAC_big_3big_4little,18.033
x7ti_OTAC_big_3big_4little,18.055
x7ti_OTAC_big_3big_4little,18.035
x7ti_OTAC_big_3big_4little,18.076
x7ti_OTAC_big_6big_8little,37.213
x7ti_OTAC_big_6big_8little,37.132
x7ti_OTAC_big_6big_8little,36.999
x7ti_OTAC_big_6big_8little,38.949
x7ti_OTAC_big_6big_8little,38.823
x7ti_OTAC_big_6big_8little,37.014
x7ti_OTAC_big_6big_8little,37.063
x7ti_OTAC_big_6big_8little,37.024
x7ti_OTAC_big_6big_8little,37.081
x7ti_OTAC_big_6big_8little,38.891
x7ti_OTAC_little_3big_4little,14.615
x7ti_OTAC_little_3big_4little,14.462
x7ti_OTAC_little_3big_4little,14.627
x7ti_OTAC_little_3big_4little,14.475
x7ti_OTAC_little_3big_4little,14.438
x7ti_OTAC_little_3big_4little,14.604
x7ti_OTAC_little_3big_4little,14.565
x7ti_OTAC_little_3big_4little,14.596
x7ti_OTAC_little_3big_4little,14.521
x7ti_OTAC_little_3big_4little,14.614
x7ti_OTAC_little_6big_8little,26.028
x7ti_OTAC_little_6big_8little,26.049
x7ti_OTAC_little_6big_8little,26.018
x7ti_OTAC_little_6big_8little,26.182
x7ti_OTAC_little_6big_8little,26.060
x7ti_OTAC_little_6big_8little,26.012
x7ti_OTAC_little_6big_8little,26.166
x7ti_OTAC_little_6big_8little,26.151
x7ti_OTAC_little_6big_8little,26.147
x7ti_OTAC_little_6big_8little,26.033
